crew_id,rank,base,seniority_years,hourly_rate_gbp,fte
C0001,CPT,MAN,22,183.17,1.0
C0002,CPT,MAN,6,130.86,1.0
C0003,CPT,MAN,7,132.32,1.0
C0004,CPT,MAN,20,176.86,1.0
C0005,CPT,MAN,14,159.21,1.0
C0006,CPT,LGW,22,182.77,1.0
C0007,CPT,MAN,23,180.77,1.0
C0008,CPT,MAN,9,139.53,1.0
C0009,CPT,MAN,11,,1.0
C0010,CPT,MAN,5,131.11,1.0
C0011,CPT,MAN,4,129.68,1.0
C0012,CPT,MAN,20,172.54,1.0
C0013,CPT,MAN,23,185.40,1.0
C0014,CPT,MAN,13,154.27,1.0
C0015,CPT,MAN,14,158.07,1.0
C0016,CPT,MAN,20,173.03,0.75
C0017,CPT,MAN,19,175.12,1.0
C0018,CPT,MAN,11,148.09,0.75
C0019,FO,MAN,10,83.05,1.0
C0020,FO,MAN,8,81.61,1.0
C0021,FO,MAN,10,87.24,1.0
C0022,FO,MAN,2,58.81,0.75
C0023,FO,MAN,9,80.61,1.0
C0024,FO,MAN,2,59.32,1.0
C0025,FO,MAN,9,78.68,1.0
C0026,FO,MAN,10,85.93,1.0
C0027,FO,MAN,2,60.31,1.0
C0028,FO,MAN,6,76.92,1.0
C0029,FO,MAN,11,90.06,1.0
C0030, first officer,MAN,3,66.56,0.75
C0031,FO,MAN,12,88.63,1.0
C0032,FO,MAN,12,87.15,1.0
C0033,FO,MAN,10,84.72,1.0
C0034,FO,MAN,11,84.86,1.0
C0035,FO,MAN,10,82.49,1.0
C0036,FO,MAN,8,76.26,1.0
C0037,CPT,MAN,19,168.50,1.0
C0038,CPT,MAN,7,135.14,1.0
C0039,CPT,MAN,24,184.92,1.0
C0040,CPT,MAN,9,142.65,1.0
C0041,CPT,MAN,19,171.44,0.75
C0042,CPT,MAN,20,171.95,0.75
C0043,CPT,MAN,16,161.43,0.5
C0044,CPT,MAN,21,178.77,1.0
C0045,CPT,MAN,19,171.75,1.0
C0046,CPT,MAN,4,130.75,1.0
C0047,CPT,MAN,17,165.92,0.75
C0048,CPT,MAN,22,180.04,1.0
C0049,FO,MAN,8,75.34,1.0
C0050,FO,MAN,11,85.52,0.5
C0051,FO,MAN,1,61.23,1.0
C0052,FO,MAN,12,90.14,1.0
C0053,FO,MAN,11,90.37,0.75
C0054,FO,MAN,12,91.09,1.0
C0055,FO,MAN,11,85.30,0.75
C0056,FO,MAN,8,76.45,1.0
C0057,FO,MAN,9,82.86,1.0
C0058,FO,MAN,2,57.05,1.0
C0059,FO,MAN,1,54.44,1.0
C0060,FO,MAN,5,66.70,1.0
C0061,CPT,BHX,14,153.75,0.75
C0062,CPT,BHX,20,174.77,1.0
C0063,CPT,BHX,9,138.87,1.0
C0064,CPT,BHX,25,190.87,1.0
C0065,CPT,BHX,22,181.16,1.0
C0066,CPT,BHX,12,147.01,0.5
C0067,CPT,BHX,16,161.67,1.0
C0068,CPT,BHX,20,171.05,1.0
C0069,CPT,BHX,8,141.67,1.0
C0070,CPT,BHX,18,168.68,1.0
C0071,CPT,BHX,4,125.39,1.0
C0072,CPT,BHX,14,154.19,1.0
C0073,FO,BHX,10,82.50,1.0
C0074,FO,BHX,8,77.97,0.75
C0075,FO,BHX,4,66.55,0.75
C0076,FO,BHX,8,79.19,1.0
C0077,FO,BHX,9,79.06,1.0
C0078,FO,BHX,1,58.75,1.0
C0079,FO,BHX,12,91.62,1.0
C0080,FO,BHX,6,74.37,1.0
C0081,FO,BHX,9,79.13,1.0
C0082,FO,BHX,6,69.41,1.0
C0083,FO,BHX,6,75.54,1.0
C0084,FO,BHX,3,66.42,1.0
C0085,CPT,BHX,17,169.58,1.0
C0086,CPT,BHX,24,189.89,1.0
C0087,CPT,BHX,8,137.79,1.0
C0088,CPT,BHX,17,165.31,1.0
C0089,CPT,BHX,25,192.27,1.0
C0090,CPT,BHX,5,131.70,1.0
C0091,CPT,BHX,17,169.65,1.0
C0092,CPT,BHX,13,155.28,1.0
C0093,CPT,BHX,3,125.29,1.0
C0094,CPT,BHX,21,179.44,1.0
C0095,FO,BHX,10,88.89,1.0
C0096,FO,BHX,1,58.48,1.0
C0097,FO,BHX,12,92.00,1.0
C0098,FO,BHX,8,79.44,1.0
C0099,FO,BHX,11,84.09,1.0
C0100,FO,BHX,3,65.14,1.0
C0101,FO,BHX,10,85.08,1.0
C0102,FO,BHX,1,60.77,1.0
C0103,FO,BHX,12,91.64,1.0
C0104,FO,BHX,10,84.78,1.0
C0105,CPT,EDI,22,179.75,1.0
C0106,CPT,EDI,13,157.68,1.0
C0107,CPT,EDI,8,140.25,1.0
C0108,CPT,EDI,11,148.93,1.0
C0109,CPT,EDI,24,189.46,1.0
C0110,CPT,EDI,13,157.74,0.5
C0111,CPT,EDI,15,159.52,1.0
C0112,CPT,EDI,6,132.71,1.0
C0113,CPT,EDI,15,159.12,1.0
C0114,FO,EDI,11,84.78,0.5
C0115,FO,EDI,5,68.14,1.0
C0116,FO,EDI,11,85.56,1.0
C0117,FO,EDI,9,81.57,1.0
C0118, first officer,EDI,11,91.66,1.0
C0119,FO,EDI,3,65.57,0.75
C0120,FO,EDI,5,71.54,1.0
C0121,FO,EDI,6,71.07,0.5
C0122,FO,EDI,10,86.16,1.0
C0123,CPT,EDI,21,180.22,1.0
C0124,CPT,EDI,25,189.13,1.0
C0125,CPT,EDI,5,126.03,1.0
C0126,CPT,EDI,23,185.18,0.5
C0127,CPT,EDI,24,188.57,1.0
C0128,CPT,EDI,9,139.54,1.0
C0129,CPT,EDI,12,154.72,1.0
C0130,CPT,EDI,23,183.67,1.0
C0131,FO,EDI,11,91.26,1.0
C0132,FO,EDI,5,66.78,1.0
C0133,FO,EDI,10,87.44,1.0
C0134,FO,EDI,3,67.72,1.0
C0135,FO,EDI,7,74.96,1.0
C0136,FO,EDI,10,82.26,1.0
C0137,FO,EDI,5,72.46,1.0
C0138,FO,EDI,3,60.30,1.0
C0040,CPT,MAN,9,142.65,1.0
