crew_id,aircraft_type,qualified_from,licence_expiry
C0001,A320,2004-10-06,2028-08-22
C0002,A320,2020-10-02,2028-03-19
C0003,A320,2019-10-03,2028-01-25
C0004,A320,2006-10-06,2027-09-10
C0005,A320,2012-10-04,2027-10-05
C0006,A320,2004-10-06,2028-04-29
C0007,A320,2003-10-07,2027-05-13
C0008,A320,2017-10-03,2026-10-20
C0009,A320,2015-10-04,2027-04-12
C0010,A320,2021-10-02,2028-05-28
C0011,A320,2022-10-02,2027-11-06
C0012,A320,2006-10-06,2027-09-29
C0013,A320,2003-10-07,2028-06-09
C0014,A320,2013-10-04,2028-03-24
C0015,A320,2012-10-04,2028-02-24
C0016,A320,2006-10-06,2028-06-30
C0017,A320,2007-10-06,2026-09-12
C0018,A320,2015-10-04,2027-09-04
C0019,A320,2016-10-03,2028-05-12
C0020,A320,2018-10-03,2027-07-05
C0021,A320,2016-10-03,2028-03-06
C0022,A320,2024-10-01,2027-04-10
C0023,A320,2017-10-03,2027-09-02
C0024,A320,2024-10-01,2027-08-12
C0025,A320,2017-10-03,2027-08-10
C0026,A320,2016-10-03,2027-12-07
C0027,A320,2024-10-01,2027-10-11
C0028,A320,2020-10-02,2027-08-26
C0029,A320,2015-10-04,2027-07-23
C0030,A320,2023-10-02,2026-10-11
C0031,A320,2014-10-04,2027-12-19
C0032,A320,2014-10-04,2028-09-19
C0033,A320,2016-10-03,2027-06-06
C0034,A320,2015-10-04,2028-04-28
C0035,A320,2016-10-03,2028-07-10
C0036,A320,2018-10-03,2028-03-24
C0037,B737,2007-10-06,2028-04-29
C0038,B737,2019-10-03,2028-04-24
C0039,B737,2002-10-07,2028-02-12
C0040,B737,2017-10-03,2027-10-23
C0041,B737,2007-10-06,2027-08-25
C0042,B737,2006-10-06,2027-08-26
C0043,B737,2010-10-05,2028-01-04
C0044,B737,2005-10-06,2027-04-25
C0045,B737,2007-10-06,2027-10-04
C0046,B737,2022-10-02,2028-05-25
C0047,B737,2009-10-05,2028-07-10
C0048,B737,2004-10-06,2028-09-17
C0049,B737,2018-10-03,2028-09-11
C0050,B737,2015-10-04,2028-02-04
C0051,B737,2025-10-01,2028-07-04
C0052,B737,2014-10-04,2027-04-24
C0053,B737,2015-10-04,2027-08-03
C0054,B737,2014-10-04,2028-04-20
C0055,B737,2015-10-04,2027-05-21
C0056,B737,2018-10-03,2027-10-23
C0057,B737,2017-10-03,2027-11-07
C0058,B737,2024-10-01,2028-01-08
C0059,B737,2025-10-01,2027-08-25
C0060,B737,2021-10-02,2027-09-28
C0061,A320,2012-10-04,2028-04-10
C0062,A320,2006-10-06,2028-01-05
C0063,A320,2017-10-03,2027-06-27
C0064,A320,2001-10-07,2028-09-18
C0065,A320,2004-10-06,2028-08-15
C0066,A320,2014-10-04,2026-10-11
C0067,A320,2010-10-05,2027-11-02
C0068,A320,2006-10-06,2028-03-13
C0069,A320,2018-10-03,2028-08-01
C0070,A320,2008-10-05,2028-03-07
C0071,A320,2022-10-02,2028-02-16
C0072,A320,2012-10-04,2028-03-11
C0073,A320,2016-10-03,2028-02-08
C0074,A320,2018-10-03,2028-02-02
C0075,A320,2022-10-02,2026-10-23
C0076,A320,2018-10-03,2027-08-23
C0077,A320,2017-10-03,2028-07-12
C0078,A320,2025-10-01,2028-07-20
C0079,A320,2014-10-04,2027-10-30
C0080,A320,2020-10-02,2027-09-07
C0081,A320,2017-10-03,2028-01-14
C0082,A320,2020-10-02,2026-10-09
C0083,A320,2020-10-02,2027-06-18
C0084,A320,2023-10-02,2027-07-07
C0085,E190,2009-10-05,2027-12-19
C0086,E190,2002-10-07,2028-08-10
C0087,E190,2018-10-03,2028-08-31
C0088,E190,2009-10-05,2027-09-08
C0089,E190,2001-10-07,2028-03-14
C0090,E190,2021-10-02,2027-07-25
C0091,E190,2009-10-05,2027-07-19
C0092,E190,2013-10-04,2027-08-19
C0093,E190,2023-10-02,2028-01-22
C0094,E190,2005-10-06,2028-06-17
C0095,E190,2016-10-03,2027-08-07
C0096,E190,2025-10-01,2027-07-20
C0097,E190,2014-10-04,2028-05-18
C0098,E190,2018-10-03,2028-04-01
C0099,E190,2015-10-04,2027-08-24
C0100,E190,2023-10-02,2028-07-08
C0101,E190,2016-10-03,2028-07-02
C0102,E190,2025-10-01,2028-08-24
C0103,E190,2014-10-04,2027-06-19
C0104,E190,2016-10-03,2027-06-17
C0105,A320,2004-10-06,2028-07-22
C0106,A320,2013-10-04,2028-01-20
C0107,A320,2018-10-03,2027-04-26
C0108,A320,2015-10-04,2027-12-18
C0109,A320,2002-10-07,2027-11-26
C0110,A320,2013-10-04,2027-09-03
C0111,A320,2011-10-05,2027-10-31
C0112,A320,2020-10-02,2028-07-29
C0113,A320,2011-10-05,2028-06-17
C0114,A320,2015-10-04,2028-03-26
C0115,A320,2021-10-02,2028-05-03
C0116,A320,2015-10-04,2027-09-30
C0117,A320,2017-10-03,2028-01-14
C0118,A320,2015-10-04,2027-08-10
C0119,A320,2023-10-02,2028-07-20
C0120,A320,2021-10-02,2028-02-24
C0121,A320,2020-10-02,2027-09-28
C0122,A320,2016-10-03,2028-06-13
C0123,B737,2005-10-06,2026-10-23
C0124,B737,2001-10-07,2026-08-26
C0125,B737,2021-10-02,2028-08-04
C0126,B737,2003-10-07,2028-03-12
C0127,B737,2002-10-07,2028-03-31
C0128,B737,2017-10-03,2027-11-29
C0129,B737,2014-10-04,2027-04-15
C0130,B737,2003-10-07,2027-08-29
C0131,B737,2015-10-04,2027-12-03
C0132,B737,2021-10-02,2027-06-03
C0133,B737,2016-10-03,2028-05-14
C0134,B737,2023-10-02,2027-05-15
C0135,B737,2019-10-03,2027-12-04
C0136,B737,2016-10-03,2027-06-20
C0137,B737,2021-10-02,2027-08-06
C0138,B737,2023-10-02,2028-08-22
C0011,A350,2026-10-01,2027-11-05
C9999,A320,2026-10-01,2027-11-05
