crew_id,rank,base,type_ratings,pool_id,seniority_years,hourly_rate_gbp,fte,licence_expiry,rank_name
C0001,CPT,MAN,A320,MAN-A320-CPT,22,183.17,1.0,2028-08-22,Captain
C0002,CPT,MAN,A320,MAN-A320-CPT,6,130.86,1.0,2028-03-19,Captain
C0003,CPT,MAN,A320,MAN-A320-CPT,7,132.32,1.0,2028-01-25,Captain
C0004,CPT,MAN,A320,MAN-A320-CPT,20,176.86,1.0,2027-09-10,Captain
C0005,CPT,MAN,A320,MAN-A320-CPT,14,159.21,1.0,2027-10-05,Captain
C0007,CPT,MAN,A320,MAN-A320-CPT,23,180.77,1.0,2027-05-13,Captain
C0008,CPT,MAN,A320,MAN-A320-CPT,9,139.53,1.0,2026-10-20,Captain
C0010,CPT,MAN,A320,MAN-A320-CPT,5,131.11,1.0,2028-05-28,Captain
C0011,CPT,MAN,A320,MAN-A320-CPT,4,129.68,1.0,2027-11-06,Captain
C0012,CPT,MAN,A320,MAN-A320-CPT,20,172.54,1.0,2027-09-29,Captain
C0013,CPT,MAN,A320,MAN-A320-CPT,23,185.4,1.0,2028-06-09,Captain
C0014,CPT,MAN,A320,MAN-A320-CPT,13,154.27,1.0,2028-03-24,Captain
C0015,CPT,MAN,A320,MAN-A320-CPT,14,158.07,1.0,2028-02-24,Captain
C0016,CPT,MAN,A320,MAN-A320-CPT,20,173.03,0.75,2028-06-30,Captain
C0017,CPT,MAN,A320,MAN-A320-CPT,19,175.12,1.0,2026-09-12,Captain
C0018,CPT,MAN,A320,MAN-A320-CPT,11,148.09,0.75,2027-09-04,Captain
C0019,FO,MAN,A320,MAN-A320-FO,10,83.05,1.0,2028-05-12,First Officer
C0020,FO,MAN,A320,MAN-A320-FO,8,81.61,1.0,2027-07-05,First Officer
C0021,FO,MAN,A320,MAN-A320-FO,10,87.24,1.0,2028-03-06,First Officer
C0022,FO,MAN,A320,MAN-A320-FO,2,58.81,0.75,2027-04-10,First Officer
C0023,FO,MAN,A320,MAN-A320-FO,9,80.61,1.0,2027-09-02,First Officer
C0024,FO,MAN,A320,MAN-A320-FO,2,59.32,1.0,2027-08-12,First Officer
C0025,FO,MAN,A320,MAN-A320-FO,9,78.68,1.0,2027-08-10,First Officer
C0026,FO,MAN,A320,MAN-A320-FO,10,85.93,1.0,2027-12-07,First Officer
C0027,FO,MAN,A320,MAN-A320-FO,2,60.31,1.0,2027-10-11,First Officer
C0028,FO,MAN,A320,MAN-A320-FO,6,76.92,1.0,2027-08-26,First Officer
C0029,FO,MAN,A320,MAN-A320-FO,11,90.06,1.0,2027-07-23,First Officer
C0030,FO,MAN,A320,MAN-A320-FO,3,66.56,0.75,2026-10-11,First Officer
C0031,FO,MAN,A320,MAN-A320-FO,12,88.63,1.0,2027-12-19,First Officer
C0032,FO,MAN,A320,MAN-A320-FO,12,87.15,1.0,2028-09-19,First Officer
C0033,FO,MAN,A320,MAN-A320-FO,10,84.72,1.0,2027-06-06,First Officer
C0034,FO,MAN,A320,MAN-A320-FO,11,84.86,1.0,2028-04-28,First Officer
C0035,FO,MAN,A320,MAN-A320-FO,10,82.49,1.0,2028-07-10,First Officer
C0036,FO,MAN,A320,MAN-A320-FO,8,76.26,1.0,2028-03-24,First Officer
C0037,CPT,MAN,B737,MAN-B737-CPT,19,168.5,1.0,2028-04-29,Captain
C0038,CPT,MAN,B737,MAN-B737-CPT,7,135.14,1.0,2028-04-24,Captain
C0039,CPT,MAN,B737,MAN-B737-CPT,24,184.92,1.0,2028-02-12,Captain
C0040,CPT,MAN,B737,MAN-B737-CPT,9,142.65,1.0,2027-10-23,Captain
C0041,CPT,MAN,B737,MAN-B737-CPT,19,171.44,0.75,2027-08-25,Captain
C0042,CPT,MAN,B737,MAN-B737-CPT,20,171.95,0.75,2027-08-26,Captain
C0043,CPT,MAN,B737,MAN-B737-CPT,16,161.43,0.5,2028-01-04,Captain
C0044,CPT,MAN,B737,MAN-B737-CPT,21,178.77,1.0,2027-04-25,Captain
C0045,CPT,MAN,B737,MAN-B737-CPT,19,171.75,1.0,2027-10-04,Captain
C0046,CPT,MAN,B737,MAN-B737-CPT,4,130.75,1.0,2028-05-25,Captain
C0047,CPT,MAN,B737,MAN-B737-CPT,17,165.92,0.75,2028-07-10,Captain
C0048,CPT,MAN,B737,MAN-B737-CPT,22,180.04,1.0,2028-09-17,Captain
C0049,FO,MAN,B737,MAN-B737-FO,8,75.34,1.0,2028-09-11,First Officer
C0050,FO,MAN,B737,MAN-B737-FO,11,85.52,0.5,2028-02-04,First Officer
C0051,FO,MAN,B737,MAN-B737-FO,1,61.23,1.0,2028-07-04,First Officer
C0052,FO,MAN,B737,MAN-B737-FO,12,90.14,1.0,2027-04-24,First Officer
C0053,FO,MAN,B737,MAN-B737-FO,11,90.37,0.75,2027-08-03,First Officer
C0054,FO,MAN,B737,MAN-B737-FO,12,91.09,1.0,2028-04-20,First Officer
C0055,FO,MAN,B737,MAN-B737-FO,11,85.3,0.75,2027-05-21,First Officer
C0056,FO,MAN,B737,MAN-B737-FO,8,76.45,1.0,2027-10-23,First Officer
C0057,FO,MAN,B737,MAN-B737-FO,9,82.86,1.0,2027-11-07,First Officer
C0058,FO,MAN,B737,MAN-B737-FO,2,57.05,1.0,2028-01-08,First Officer
C0059,FO,MAN,B737,MAN-B737-FO,1,54.44,1.0,2027-08-25,First Officer
C0060,FO,MAN,B737,MAN-B737-FO,5,66.7,1.0,2027-09-28,First Officer
C0061,CPT,BHX,A320,BHX-A320-CPT,14,153.75,0.75,2028-04-10,Captain
C0062,CPT,BHX,A320,BHX-A320-CPT,20,174.77,1.0,2028-01-05,Captain
C0063,CPT,BHX,A320,BHX-A320-CPT,9,138.87,1.0,2027-06-27,Captain
C0064,CPT,BHX,A320,BHX-A320-CPT,25,190.87,1.0,2028-09-18,Captain
C0065,CPT,BHX,A320,BHX-A320-CPT,22,181.16,1.0,2028-08-15,Captain
C0066,CPT,BHX,A320,BHX-A320-CPT,12,147.01,0.5,2026-10-11,Captain
C0067,CPT,BHX,A320,BHX-A320-CPT,16,161.67,1.0,2027-11-02,Captain
C0068,CPT,BHX,A320,BHX-A320-CPT,20,171.05,1.0,2028-03-13,Captain
C0069,CPT,BHX,A320,BHX-A320-CPT,8,141.67,1.0,2028-08-01,Captain
C0070,CPT,BHX,A320,BHX-A320-CPT,18,168.68,1.0,2028-03-07,Captain
C0071,CPT,BHX,A320,BHX-A320-CPT,4,125.39,1.0,2028-02-16,Captain
C0072,CPT,BHX,A320,BHX-A320-CPT,14,154.19,1.0,2028-03-11,Captain
C0073,FO,BHX,A320,BHX-A320-FO,10,82.5,1.0,2028-02-08,First Officer
C0074,FO,BHX,A320,BHX-A320-FO,8,77.97,0.75,2028-02-02,First Officer
C0075,FO,BHX,A320,BHX-A320-FO,4,66.55,0.75,2026-10-23,First Officer
C0076,FO,BHX,A320,BHX-A320-FO,8,79.19,1.0,2027-08-23,First Officer
C0077,FO,BHX,A320,BHX-A320-FO,9,79.06,1.0,2028-07-12,First Officer
C0078,FO,BHX,A320,BHX-A320-FO,1,58.75,1.0,2028-07-20,First Officer
C0079,FO,BHX,A320,BHX-A320-FO,12,91.62,1.0,2027-10-30,First Officer
C0080,FO,BHX,A320,BHX-A320-FO,6,74.37,1.0,2027-09-07,First Officer
C0081,FO,BHX,A320,BHX-A320-FO,9,79.13,1.0,2028-01-14,First Officer
C0082,FO,BHX,A320,BHX-A320-FO,6,69.41,1.0,2026-10-09,First Officer
C0083,FO,BHX,A320,BHX-A320-FO,6,75.54,1.0,2027-06-18,First Officer
C0084,FO,BHX,A320,BHX-A320-FO,3,66.42,1.0,2027-07-07,First Officer
C0085,CPT,BHX,E190,BHX-E190-CPT,17,169.58,1.0,2027-12-19,Captain
C0086,CPT,BHX,E190,BHX-E190-CPT,24,189.89,1.0,2028-08-10,Captain
C0087,CPT,BHX,E190,BHX-E190-CPT,8,137.79,1.0,2028-08-31,Captain
C0088,CPT,BHX,E190,BHX-E190-CPT,17,165.31,1.0,2027-09-08,Captain
C0089,CPT,BHX,E190,BHX-E190-CPT,25,192.27,1.0,2028-03-14,Captain
C0090,CPT,BHX,E190,BHX-E190-CPT,5,131.7,1.0,2027-07-25,Captain
C0091,CPT,BHX,E190,BHX-E190-CPT,17,169.65,1.0,2027-07-19,Captain
C0092,CPT,BHX,E190,BHX-E190-CPT,13,155.28,1.0,2027-08-19,Captain
C0093,CPT,BHX,E190,BHX-E190-CPT,3,125.29,1.0,2028-01-22,Captain
C0094,CPT,BHX,E190,BHX-E190-CPT,21,179.44,1.0,2028-06-17,Captain
C0095,FO,BHX,E190,BHX-E190-FO,10,88.89,1.0,2027-08-07,First Officer
C0096,FO,BHX,E190,BHX-E190-FO,1,58.48,1.0,2027-07-20,First Officer
C0097,FO,BHX,E190,BHX-E190-FO,12,92.0,1.0,2028-05-18,First Officer
C0098,FO,BHX,E190,BHX-E190-FO,8,79.44,1.0,2028-04-01,First Officer
C0099,FO,BHX,E190,BHX-E190-FO,11,84.09,1.0,2027-08-24,First Officer
C0100,FO,BHX,E190,BHX-E190-FO,3,65.14,1.0,2028-07-08,First Officer
C0101,FO,BHX,E190,BHX-E190-FO,10,85.08,1.0,2028-07-02,First Officer
C0102,FO,BHX,E190,BHX-E190-FO,1,60.77,1.0,2028-08-24,First Officer
C0103,FO,BHX,E190,BHX-E190-FO,12,91.64,1.0,2027-06-19,First Officer
C0104,FO,BHX,E190,BHX-E190-FO,10,84.78,1.0,2027-06-17,First Officer
C0105,CPT,EDI,A320,EDI-A320-CPT,22,179.75,1.0,2028-07-22,Captain
C0106,CPT,EDI,A320,EDI-A320-CPT,13,157.68,1.0,2028-01-20,Captain
C0107,CPT,EDI,A320,EDI-A320-CPT,8,140.25,1.0,2027-04-26,Captain
C0108,CPT,EDI,A320,EDI-A320-CPT,11,148.93,1.0,2027-12-18,Captain
C0109,CPT,EDI,A320,EDI-A320-CPT,24,189.46,1.0,2027-11-26,Captain
C0110,CPT,EDI,A320,EDI-A320-CPT,13,157.74,0.5,2027-09-03,Captain
C0111,CPT,EDI,A320,EDI-A320-CPT,15,159.52,1.0,2027-10-31,Captain
C0112,CPT,EDI,A320,EDI-A320-CPT,6,132.71,1.0,2028-07-29,Captain
C0113,CPT,EDI,A320,EDI-A320-CPT,15,159.12,1.0,2028-06-17,Captain
C0114,FO,EDI,A320,EDI-A320-FO,11,84.78,0.5,2028-03-26,First Officer
C0115,FO,EDI,A320,EDI-A320-FO,5,68.14,1.0,2028-05-03,First Officer
C0116,FO,EDI,A320,EDI-A320-FO,11,85.56,1.0,2027-09-30,First Officer
C0117,FO,EDI,A320,EDI-A320-FO,9,81.57,1.0,2028-01-14,First Officer
C0118,FO,EDI,A320,EDI-A320-FO,11,91.66,1.0,2027-08-10,First Officer
C0119,FO,EDI,A320,EDI-A320-FO,3,65.57,0.75,2028-07-20,First Officer
C0120,FO,EDI,A320,EDI-A320-FO,5,71.54,1.0,2028-02-24,First Officer
C0121,FO,EDI,A320,EDI-A320-FO,6,71.07,0.5,2027-09-28,First Officer
C0122,FO,EDI,A320,EDI-A320-FO,10,86.16,1.0,2028-06-13,First Officer
C0123,CPT,EDI,B737,EDI-B737-CPT,21,180.22,1.0,2026-10-23,Captain
C0124,CPT,EDI,B737,EDI-B737-CPT,25,189.13,1.0,2026-08-26,Captain
C0125,CPT,EDI,B737,EDI-B737-CPT,5,126.03,1.0,2028-08-04,Captain
C0126,CPT,EDI,B737,EDI-B737-CPT,23,185.18,0.5,2028-03-12,Captain
C0127,CPT,EDI,B737,EDI-B737-CPT,24,188.57,1.0,2028-03-31,Captain
C0128,CPT,EDI,B737,EDI-B737-CPT,9,139.54,1.0,2027-11-29,Captain
C0129,CPT,EDI,B737,EDI-B737-CPT,12,154.72,1.0,2027-04-15,Captain
C0130,CPT,EDI,B737,EDI-B737-CPT,23,183.67,1.0,2027-08-29,Captain
C0131,FO,EDI,B737,EDI-B737-FO,11,91.26,1.0,2027-12-03,First Officer
C0132,FO,EDI,B737,EDI-B737-FO,5,66.78,1.0,2027-06-03,First Officer
C0133,FO,EDI,B737,EDI-B737-FO,10,87.44,1.0,2028-05-14,First Officer
C0134,FO,EDI,B737,EDI-B737-FO,3,67.72,1.0,2027-05-15,First Officer
C0135,FO,EDI,B737,EDI-B737-FO,7,74.96,1.0,2027-12-04,First Officer
C0136,FO,EDI,B737,EDI-B737-FO,10,82.26,1.0,2027-06-20,First Officer
C0137,FO,EDI,B737,EDI-B737-FO,5,72.46,1.0,2027-08-06,First Officer
C0138,FO,EDI,B737,EDI-B737-FO,3,60.3,1.0,2028-08-22,First Officer
