crew_id,date,duty_hours,day_status,leave_type,scenario
C0001,2026-10-01,0.0,LEAVE,ANNUAL,baseline
C0001,2026-10-02,0.0,LEAVE,ANNUAL,baseline
C0001,2026-10-03,0.0,LEAVE,ANNUAL,baseline
C0001,2026-10-04,0.0,LEAVE,ANNUAL,baseline
C0001,2026-10-05,0.0,LEAVE,ANNUAL,baseline
C0001,2026-10-06,0.0,LEAVE,ANNUAL,baseline
C0001,2026-10-07,0.0,LEAVE,ANNUAL,baseline
C0001,2026-10-08,0.0,LEAVE,ANNUAL,baseline
C0001,2026-10-09,7.0833,DUTY,,baseline
C0001,2026-10-10,9.0833,DUTY,,baseline
C0001,2026-10-11,9.25,DUTY,,baseline
C0001,2026-10-12,0.0,OFF,,baseline
C0001,2026-10-13,0.0,OFF,,baseline
C0001,2026-10-14,0.0,OFF,,baseline
C0001,2026-10-15,8.75,DUTY,,baseline
C0001,2026-10-16,7.75,DUTY,,baseline
C0001,2026-10-17,0.0,OFF,,baseline
C0001,2026-10-18,8.6667,DUTY,,baseline
C0001,2026-10-19,0.0,OFF,,baseline
C0001,2026-10-20,0.0,OFF,,baseline
C0001,2026-10-21,0.0,OFF,,baseline
C0001,2026-10-22,7.9167,DUTY,,baseline
C0001,2026-10-23,0.0,LEAVE,SICK,baseline
C0001,2026-10-24,0.0,LEAVE,SICK,baseline
C0001,2026-10-25,10.5833,DUTY,,baseline
C0001,2026-10-26,7.0,DUTY,,baseline
C0001,2026-10-27,0.0,OFF,,baseline
C0001,2026-10-28,0.0,OFF,,baseline
C0001,2026-10-29,0.0,OFF,,baseline
C0001,2026-10-30,7.75,DUTY,,baseline
C0001,2026-10-31,0.0,OFF,,baseline
C0002,2026-10-01,0.0,OFF,,baseline
C0002,2026-10-02,9.1667,DUTY,,baseline
C0002,2026-10-03,0.0,OFF,,baseline
C0002,2026-10-04,0.0,OFF,,baseline
C0002,2026-10-05,0.0,OFF,,baseline
C0002,2026-10-06,0.0,OFF,,baseline
C0002,2026-10-07,7.1667,DUTY,,baseline
C0002,2026-10-08,0.0,OFF,,baseline
C0002,2026-10-09,0.0,OFF,,baseline
C0002,2026-10-10,7.5833,DUTY,,baseline
C0002,2026-10-11,8.3333,DUTY,,baseline
C0002,2026-10-12,0.0,LEAVE,TRAINING,baseline
C0002,2026-10-13,0.0,LEAVE,TRAINING,baseline
C0002,2026-10-14,6.25,DUTY,,baseline
C0002,2026-10-15,7.3333,DUTY,,baseline
C0002,2026-10-16,0.0,OFF,,baseline
C0002,2026-10-17,0.0,OFF,,baseline
C0002,2026-10-18,8.5833,DUTY,,baseline
C0002,2026-10-19,0.0,OFF,,baseline
C0002,2026-10-20,7.8333,DUTY,,baseline
C0002,2026-10-21,0.0,OFF,,baseline
C0002,2026-10-22,0.0,OFF,,baseline
C0002,2026-10-23,7.6667,DUTY,,baseline
C0002,2026-10-24,6.6667,DUTY,,baseline
C0002,2026-10-25,7.25,DUTY,,baseline
C0002,2026-10-26,0.0,OFF,,baseline
C0002,2026-10-27,8.3333,DUTY,,baseline
C0002,2026-10-28,7.25,DUTY,,baseline
C0002,2026-10-29,0.0,OFF,,baseline
C0002,2026-10-30,6.3333,DUTY,,baseline
C0002,2026-10-31,8.5833,DUTY,,baseline
C0003,2026-10-01,0.0,OFF,,baseline
C0003,2026-10-02,0.0,OFF,,baseline
C0003,2026-10-03,6.6667,DUTY,,baseline
C0003,2026-10-04,6.5,DUTY,,baseline
C0003,2026-10-05,0.0,OFF,,baseline
C0003,2026-10-06,7.1667,DUTY,,baseline
C0003,2026-10-07,7.25,DUTY,,baseline
C0003,2026-10-08,0.0,OFF,,baseline
C0003,2026-10-09,0.0,OFF,,baseline
C0003,2026-10-10,0.0,OFF,,baseline
C0003,2026-10-11,7.4167,DUTY,,baseline
C0003,2026-10-12,8.4167,DUTY,,baseline
C0003,2026-10-13,0.0,OFF,,baseline
C0003,2026-10-14,0.0,OFF,,baseline
C0003,2026-10-15,7.9167,DUTY,,baseline
C0003,2026-10-16,7.8333,DUTY,,baseline
C0003,2026-10-17,6.75,DUTY,,baseline
C0003,2026-10-18,0.0,OFF,,baseline
C0003,2026-10-19,0.0,OFF,,baseline
C0003,2026-10-20,6.4167,DUTY,,baseline
C0003,2026-10-21,0.0,OFF,,baseline
C0003,2026-10-22,0.0,OFF,,baseline
C0003,2026-10-23,0.0,OFF,,baseline
C0003,2026-10-24,7.8333,DUTY,,baseline
C0003,2026-10-25,0.0,OFF,,baseline
C0003,2026-10-26,6.8333,DUTY,,baseline
C0003,2026-10-27,0.0,OFF,,baseline
C0003,2026-10-28,7.3333,DUTY,,baseline
C0003,2026-10-29,10.4167,DUTY,,baseline
C0003,2026-10-30,8.75,DUTY,,baseline
C0003,2026-10-31,0.0,OFF,,baseline
C0004,2026-10-01,7.6667,DUTY,,baseline
C0004,2026-10-02,0.0,OFF,,baseline
C0004,2026-10-03,0.0,OFF,,baseline
C0004,2026-10-04,0.0,OFF,,baseline
C0004,2026-10-05,0.0,OFF,,baseline
C0004,2026-10-06,0.0,OFF,,baseline
C0004,2026-10-07,7.5,DUTY,,baseline
C0004,2026-10-08,7.0833,DUTY,,baseline
C0004,2026-10-09,0.0,OFF,,baseline
C0004,2026-10-10,8.75,DUTY,,baseline
C0004,2026-10-11,0.0,OFF,,baseline
C0004,2026-10-12,7.75,DUTY,,baseline
C0004,2026-10-13,9.1667,DUTY,,baseline
C0004,2026-10-14,7.9167,DUTY,,baseline
C0004,2026-10-15,0.0,OFF,,baseline
C0004,2026-10-16,0.0,OFF,,baseline
C0004,2026-10-17,0.0,OFF,,baseline
C0004,2026-10-18,6.4167,DUTY,,baseline
C0004,2026-10-19,7.5833,DUTY,,baseline
C0004,2026-10-20,0.0,OFF,,baseline
