scenario,pool_id,status,solve_seconds,gap,n_variables,n_binaries,n_constraints,uncovered_seats,pay_cost,overtime_cost,time_limit_hit
baseline,BHX-A320-CPT,OPTIMAL,0.666,0.0029305965294783,1599,1421,1625,0.0,164838.1855,0.0,False
baseline,BHX-A320-FO,OPTIMAL,1.234,0.0046360960643153,1505,1327,1551,0.0,78074.1868,0.0,False
baseline,BHX-E190-CPT,OPTIMAL,0.874,0.0019064570078631,1045,907,1327,0.0,132749.468,0.0,False
baseline,BHX-E190-FO,OPTIMAL,0.85,0.0044801193266677,1064,926,1361,0.0,65408.9642,0.0,False
baseline,EDI-A320-CPT,OPTIMAL,1.008,0.0030047135755022,905,770,1101,0.0,126823.9496,241.7117,False
baseline,EDI-A320-FO,OPTIMAL,0.633,0.0025833519627185,961,826,1168,0.0,63000.8353,134.9148,False
baseline,EDI-B737-CPT,OPTIMAL,1.019,0.0001158876047776,690,559,810,0.0,128506.6116,5728.851,False
baseline,EDI-B737-FO,OPTIMAL,0.316,0.0035449597365587,872,741,1036,0.0,59039.1743,0.0,False
baseline,MAN-A320-CPT,OPTIMAL,0.959,0.00256578789395,2818,2563,2342,0.0,238818.2408,1454.4528,False
baseline,MAN-A320-FO,OPTIMAL,0.857,0.0037152070600393,3331,3068,2780,0.0,120342.3223,0.0,False
baseline,MAN-B737-CPT,OPTIMAL,0.719,0.0023426573650117,1615,1438,1619,0.0,167142.0028,0.0,False
baseline,MAN-B737-FO,OPTIMAL,0.523,0.0048038319515612,1528,1351,1554,0.0,76408.3436,19.0148,False
rest_10h_flat,BHX-A320-CPT,OPTIMAL,1.039,0.0020507154121645,1599,1421,1460,0.0,165190.365,0.0,False
rest_10h_flat,BHX-A320-FO,OPTIMAL,3.252,0.0026739730380837,1505,1327,1399,0.0,78135.9603,0.0,False
rest_10h_flat,BHX-E190-CPT,OPTIMAL,0.821,0.0022012369244321,1045,907,1207,0.0,132805.9549,0.0,False
rest_10h_flat,BHX-E190-FO,OPTIMAL,11.214,0.0045293396813127,1064,926,1238,0.0,65438.6984,0.0,False
rest_10h_flat,EDI-A320-CPT,OPTIMAL,0.704,0.0012558469911073,905,770,1012,0.0,127024.4943,0.0,False
rest_10h_flat,EDI-A320-FO,OPTIMAL,0.38,0.0047940168417944,961,826,1072,0.0,63062.1047,218.6352,False
rest_10h_flat,EDI-B737-CPT,OPTIMAL,0.566,0.0010745531423949,690,559,774,0.0,128481.8257,6196.4124,False
rest_10h_flat,EDI-B737-FO,OPTIMAL,0.448,0.0014125005718234,872,741,984,0.0,58913.933,0.0,False
rest_10h_flat,MAN-A320-CPT,OPTIMAL,1.028,0.0034423573873246,2818,2563,1915,0.0,238556.4118,1720.1408,False
rest_10h_flat,MAN-A320-FO,OPTIMAL,20.17,0.0041430177506915,3331,3068,2260,0.0,120270.8258,0.0,False
rest_10h_flat,MAN-B737-CPT,OPTIMAL,0.856,0.0027204242613321,1615,1438,1506,0.0,166875.9944,0.0,False
rest_10h_flat,MAN-B737-FO,OPTIMAL,0.897,0.0040036450835835,1528,1351,1441,0.0,76525.6397,0.0,False
rest_14h,BHX-A320-CPT,OPTIMAL,0.709,0.0033637796244616,1599,1421,1731,0.0,165181.0632,0.0,False
rest_14h,BHX-A320-FO,OPTIMAL,0.792,0.0040786864400224,1505,1327,1652,0.0,78265.6067,0.0,False
rest_14h,BHX-E190-CPT,OPTIMAL,0.607,0.0030134525471775,1045,907,1355,0.0,133073.8748,0.0,False
rest_14h,BHX-E190-FO,OPTIMAL,0.749,0.004703110387036,1064,926,1391,0.0,65451.8864,0.0,False
rest_14h,EDI-A320-CPT,OPTIMAL,0.419,0.0020250319473052,905,770,1142,0.0,127122.3979,0.0,False
rest_14h,EDI-A320-FO,OPTIMAL,0.846,0.0036582257312492,961,826,1210,0.0,62874.91,319.8317,False
rest_14h,EDI-B737-CPT,OPTIMAL,1.262,0.0010117134581025,690,559,884,0.0,128604.4916,6425.1511,False
rest_14h,EDI-B737-FO,OPTIMAL,0.411,0.0029837191927688,872,741,1132,0.0,59006.7767,0.0,False
rest_14h,MAN-A320-CPT,OPTIMAL,1.309,0.0029616468232093,2818,2563,2260,0.0,238521.0092,1374.9783,False
rest_14h,MAN-A320-FO,OPTIMAL,1.154,0.0026638687427696,3331,3068,2675,0.0,120273.7954,0.0,False
rest_14h,MAN-B737-CPT,OPTIMAL,0.81,0.0021516053959255,1615,1438,1748,0.0,167133.1233,0.0,False
