scenario,group,description,status,objective,best_bound,gap,time_limit_hit,build_seconds,solve_seconds,n_variables,n_constraints,rest_constraints,uncovered_seats,rostered_hours,pay_cost_gbp,overtime_cost_gbp,total_cost_gbp,cost_per_rostered_hour_gbp,overtime_hours,pilots_on_overtime,fairness_dev_outside_band_hours,mean_abs_deviation_hours,max_abs_deviation_hours,pilots_outside_band,check_errors,check_warnings,total_cost_delta_gbp,total_cost_delta_pct,uncovered_seats_delta,mean_abs_deviation_delta_hours,cost_comparable_to_baseline,objective_delta_pct,proven_worse_than_baseline,proven_better_than_baseline,difference_within_solver_gap
baseline,rules,"Default rules: 12h rest (at least previous duty length), 60h and 5 duty days in 7, 190h month",OPTIMAL,1435056.022784004,1431060.639,0.00278413087752,False,1.88,9.66,17933,18274,9911,0,11998.3,1421152.28,7578.94,1428731.23,119.08,100.4,18,135.8,3.7,17.04,49,0,0,0.0,0.0,0,0.0,True,0.0,False,False,True
rest_10h_flat,rules,"Looser rest: 10h minimum, no link to previous duty length",OPTIMAL,1434986.76136836,1431060.639,0.0027359990168941,False,1.78,41.37,17933,16268,7905,0,11998.3,1421282.21,8135.19,1429417.4,119.13,106.9,14,115.1,3.54,16.04,41,0,0,686.17,0.048,0,-0.16,True,-0.005,False,False,True
rest_14h,rules,Tighter rest: 14h minimum,FEASIBLE,1435257.2382766395,1431060.639,0.0029239352812313,True,1.84,69.17,17933,18844,10481,0,11998.3,1422239.64,8119.96,1430359.6,119.21,109.3,12,112.0,3.34,14.04,36,0,0,1628.37,0.114,0,-0.36,True,0.014,False,False,True
rest_16h,rules,Much tighter rest: 16h minimum,OPTIMAL,1531152.2536325394,1527432.715,0.0024292415229871,False,1.85,31.5,17933,18400,10037,2,11981.0,1418355.18,5672.91,1424028.09,118.86,83.7,17,139.7,3.59,30.52,35,0,2,-4703.14,-0.329,2,-0.11,False,6.696,True,False,False
max_50h_7d,rules,Weekly duty cap cut from 60h to 50h,FEASIBLE,1434838.287408084,1431060.639,0.0026328042966486,True,1.81,95.33,17933,18301,9911,0,11998.3,1422244.7,7892.91,1430137.61,119.19,105.3,15,96.0,3.33,17.45,38,0,0,1406.38,0.098,0,-0.37,True,-0.015,False,False,True
max_4_days_7d,rules,"At most 4 duty days in any 7, instead of 5",OPTIMAL,1627288.265092466,1623679.701,0.0022175321790703,False,1.84,38.76,17933,18284,9911,4,11962.9,1415936.42,4584.62,1420521.04,118.74,66.8,15,128.4,3.48,31.52,43,0,4,-8210.19,-0.575,4,-0.22,False,13.395,True,False,False
cost_only,objective,"Minimise pay only, fairness ignored",OPTIMAL,1394809.0838934998,1390425.964,0.0031424514968491,False,1.83,9.63,17933,18274,9911,0,11998.3,1379724.2,15084.88,1394809.08,116.25,349.2,43,3215.5,27.83,108.5,120,0,14,-33922.15,-2.374,0,24.13,True,-2.805,False,False,False
fairness_weight_5,objective,"Weighted, fairness priced at 5 GBP per hour of deviation (worst case 25)",OPTIMAL,1419930.0722345249,1416987.6600000004,0.0020722233383606,False,1.84,10.9,17933,18274,9911,0,11998.3,1398312.85,7024.29,1405337.14,117.13,105.8,23,1401.0,13.95,56.83,95,0,0,-23394.09,-1.637,0,10.25,True,-1.054,False,False,False
fairness_weight_80,objective,"Weighted, fairness priced at 80 GBP per hour of deviation (worst case 400)",FEASIBLE,1438464.23363512,1431975.984,0.0045105394235097,True,1.9,191.87,17933,18274,9911,0,11998.3,1424315.47,11892.9,1436208.37,119.7,150.3,16,9.3,2.57,6.47,14,0,0,7477.14,0.523,0,-1.13,True,0.237,False,False,False
fairness_only,objective,"Minimise deviation from fair targets, cost only breaks ties",FEASIBLE,1538.0108503865004,1431.977,0.068942199178799,True,1.86,272.26,17933,18274,9911,0,11998.3,1425196.78,12440.75,1437637.53,119.82,155.0,17,0.8,2.17,4.46,3,0,0,8906.3,0.623,0,-1.53,True,-99.893,False,False,False
sickness_wave_edi_b737,disruption,3 Edinburgh 737 captains sick on days 8 to 14,OPTIMAL,1576736.005842504,1572677.843,0.0025737744476354,False,1.81,9.18,17867,18205,9868,3,11970.6,1416277.64,5118.05,1421395.69,118.74,72.4,18,108.5,3.49,12.66,48,0,3,-7335.54,-0.513,3,-0.21,False,9.873,True,False,False
