pool_id,status,cbc_result,objective,best_bound,gap,build_seconds,solve_seconds,wall_seconds,n_variables,n_binaries,n_constraints,nodes,time_limit_hit,constraints_coverage,constraints_rest,constraints_hours_7d,constraints_days_7d,constraints_hours_month,constraints_overtime_link,constraints_fairness_link,uncovered_seats,pay_cost,overtime_cost,fairness_total_dev_hours,fairness_max_dev_hours
BHX-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),160635.15687300003,159901.962,0.004564348722115057,0.158,1.047,1.205,1599,1421,1625,0,False,129,887,280,281,12,12,24,0.0,159802.4433,832.7136,300.8494,93.879
BHX-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),76134.10599650002,76047.615,0.0011360348344273937,0.154,1.085,1.239,1505,1327,1551,0,False,129,827,273,275,11,12,24,0.0,76128.5591,5.5469,200.3691,99.9023
BHX-E190-CPT,OPTIMAL,Optimal solution found (within gap tolerance),126887.60420699997,126353.677,0.004207875232075007,0.145,0.572,0.717,1045,907,1327,0,False,97,713,237,240,10,10,20,0.0,126109.4871,778.1171,322.8516,84.4747
BHX-E190-FO,OPTIMAL,Optimal solution found (within gap tolerance),62263.34754899998,62014.305,0.0039998258815747865,0.113,0.498,0.611,1064,926,1361,0,False,97,734,244,246,10,10,20,0.0,60173.507,2089.8406,440.9413,82.6813
EDI-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),123179.94342299999,122712.63,0.00379374604350345,0.094,0.5,0.595,905,770,1101,0,False,98,558,202,207,9,9,18,0.0,123022.2713,157.6721,223.5835,104.5
EDI-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),62618.20647849999,62455.519,0.0025980858866637767,0.1,0.508,0.608,961,826,1168,0,False,98,597,217,220,9,9,18,0.0,62546.7765,71.43,79.6181,42.1345
EDI-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),131446.70449049998,131231.139,0.0016399459487062482,0.073,0.556,0.63,690,559,810,0,False,98,377,149,155,7,8,16,0.0,126291.8676,5154.8369,129.4997,48.0832
EDI-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),57833.57090400001,57758.436,0.0012991572684440498,0.091,0.455,0.546,872,741,1036,0,False,98,511,197,198,8,8,16,0.0,57254.8479,578.723,168.866,96.3405
MAN-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),238351.15425850003,237555.731,0.0033371907133177307,0.265,0.631,0.896,2818,2563,2342,0,False,190,1374,355,360,15,16,32,0.0,237245.4826,1105.6716,164.1942,57.3708
MAN-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),117050.57214349997,116805.129,0.002096898280847928,0.324,1.202,1.526,3331,3068,2780,0,False,190,1659,428,431,18,18,36,0.0,116366.3003,684.2719,588.4309,92.4427
MAN-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),164612.504454,164030.744,0.0035341206667721435,0.16,0.842,1.003,1615,1438,1619,0,False,128,859,292,292,12,12,24,0.0,164200.5224,411.9821,208.1994,96.6312
MAN-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),73796.21311600004,73559.077,0.0032133913921475123,0.151,1.732,1.883,1528,1351,1554,0,False,128,815,280,283,12,12,24,0.0,70582.1393,3214.0738,388.0677,86.4238
