crew_id,rank,base,type_ratings,pool_id,fte,hourly_rate_gbp,available_days,duties,hours,target_hours,deviation_hours,dev_outside_band,utilisation,overtime_threshold_hours,overtime_hours,pay_cost,overtime_cost
C0001,CPT,MAN,A320,MAN-A320-CPT,1.0,183.17,21,10,78.6666,79.01847911275416,-0.35187911275416184,0.0,0.9955468756586412,110.0,0.0,14409.361122,0.0
C0002,CPT,MAN,A320,MAN-A320-CPT,1.0,130.86,29,14,110.0834,109.12075686999384,0.9626431300061569,0.0,1.008821815002191,110.0,0.08339999999999748,14405.513724,5.456861999999836
C0003,CPT,MAN,A320,MAN-A320-CPT,1.0,132.32,31,15,112.6666,116.64632630930376,-3.979726309303757,0.0,0.9658821118913684,110.0,2.6666000000000025,14908.044512,176.42225600000015
C0004,CPT,MAN,A320,MAN-A320-CPT,1.0,176.86,24,12,94.5,90.30683327171904,4.193166728280957,0.19316672828095705,1.0464324412269488,110.0,0.0,16713.27,0.0
C0005,CPT,MAN,A320,MAN-A320-CPT,1.0,159.21,31,15,113.4166,116.64632630930376,-3.229726309303757,0.0,0.9723118043105816,110.0,3.4166000000000025,18057.056886000002,271.9784430000002
C0007,CPT,MAN,A320,MAN-A320-CPT,1.0,180.77,31,15,118.0,116.64632630930376,1.3536736906962403,0.0,1.0116049406228773,110.0,8.0,21330.86,723.08
C0008,CPT,MAN,A320,MAN-A320-CPT,1.0,139.53,20,9,74.3334,75.2556943930992,-0.9222943930992074,0.0,0.9877445235136415,110.0,0.0,10371.739302,0.0
C0010,CPT,MAN,A320,MAN-A320-CPT,1.0,131.11,29,13,105.6666,109.12075686999384,-3.454156869993838,0.0,0.9683455561611517,110.0,0.0,13853.947926000003,0.0
C0011,CPT,MAN,A320,MAN-A320-CPT,1.0,129.68,31,13,114.8332,116.64632630930376,-1.8131263093037546,0.0,0.9844562073519915,110.0,4.833200000000005,14891.569376000001,313.3846880000003
C0012,CPT,MAN,A320,MAN-A320-CPT,1.0,172.54,31,14,117.4166,116.64632630930376,0.7702736906962429,0.0,1.006603497213052,110.0,7.4166000000000025,20259.060164,639.8300820000002
C0013,CPT,MAN,A320,MAN-A320-CPT,1.0,185.4,29,13,108.8335,109.12075686999384,-0.2872568699938398,0.0,0.9973675322804434,110.0,0.0,20177.730900000002,0.0
C0014,CPT,MAN,A320,MAN-A320-CPT,1.0,154.27,31,15,118.4166,116.64632630930376,1.7702736906962429,0.0,1.0151764204386695,110.0,8.416600000000003,18268.128882,649.2144410000002
C0015,CPT,MAN,A320,MAN-A320-CPT,1.0,158.07,31,15,117.5002,116.64632630930376,0.853873690696247,0.0,1.0073201935947136,110.0,7.500200000000007,18573.256614,592.7783070000005
C0016,CPT,MAN,A320,MAN-A320-CPT,0.75,173.03,30,10,88.4166,84.66265619223661,3.7539438077633918,0.0,1.0443400192788614,82.5,5.9166000000000025,15298.724298000001,511.8746490000002
C0017,CPT,MAN,A320,MAN-A320-CPT,1.0,175.12,0,0,0.0,0.0,0.0,0.0,,110.0,0.0,0.0,0.0
C0018,CPT,MAN,A320,MAN-A320-CPT,0.75,148.09,19,7,54.0,53.619682255083184,0.380317744916816,0.0,1.007092875767289,82.5,0.0,7996.860000000001,0.0
C0019,FO,MAN,A320,MAN-A320-FO,1.0,83.05,29,11,88.5,90.22057483443709,-1.7205748344370875,0.0,0.9809292410562169,110.0,0.0,7349.925,0.0
C0020,FO,MAN,A320,MAN-A320-FO,1.0,81.61,31,12,94.8333,96.4426834437086,-1.6093834437086088,0.0,0.9833125397775978,110.0,0.0,7739.3456129999995,0.0
C0021,FO,MAN,A320,MAN-A320-FO,1.0,87.24,31,12,93.8335,96.4426834437086,-2.609183443708602,0.0,0.9729457606265018,110.0,0.0,8186.03454,0.0
C0022,FO,MAN,A320,MAN-A320-FO,0.75,58.81,30,9,71.3333,69.99872185430463,1.3345781456953603,0.0,1.0190657502071703,82.5,0.0,4195.111373,0.0
C0023,FO,MAN,A320,MAN-A320-FO,1.0,80.61,23,10,75.5,71.55424900662251,3.9457509933774872,0.0,1.0551434897040468,110.0,0.0,6086.055,0.0
C0024,FO,MAN,A320,MAN-A320-FO,1.0,59.32,31,12,95.9166,96.4426834437086,-0.5260834437086004,0.0,0.9945451181476543,110.0,0.0,5689.772712,0.0
C0025,FO,MAN,A320,MAN-A320-FO,1.0,78.68,29,11,92.2499,90.22057483443709,2.029325165562909,0.0,1.022492931011434,110.0,0.0,7258.222132000001,0.0
C0026,FO,MAN,A320,MAN-A320-FO,1.0,85.93,22,9,69.83330000000001,68.44319470198676,1.3901052980132533,0.0,1.0203103508546907,110.0,0.0,6000.775469000001,0.0
C0027,FO,MAN,A320,MAN-A320-FO,1.0,60.31,29,11,93.6667,90.22057483443709,3.4461251655629184,0.0,1.0381966660253148,110.0,0.0,5649.0386770000005,0.0
C0028,FO,MAN,A320,MAN-A320-FO,1.0,76.92,31,12,96.0833,96.4426834437086,-0.35938344370860875,0.0,0.9962736059296984,110.0,0.0,7390.727436,0.0
C0029,FO,MAN,A320,MAN-A320-FO,1.0,90.06,31,12,95.5001,96.4426834437086,-0.9425834437085996,0.0,0.9902264909057745,110.0,0.0,8600.739006,0.0
C0030,FO,MAN,A320,MAN-A320-FO,0.75,66.56,11,3,24.5,25.666198013245033,-1.1661980132450331,0.0,0.9545628841231873,82.5,0.0,1630.72,0.0
C0031,FO,MAN,A320,MAN-A320-FO,1.0,88.63,31,12,94.0001,96.4426834437086,-2.4425834437085996,0.0,0.9746732115232538,110.0,0.0,8331.228863,0.0
C0032,FO,MAN,A320,MAN-A320-FO,1.0,87.15,26,10,79.4165,80.8874119205298,-1.470911920529801,0.0,0.9818153172959108,110.0,0.0,6921.147975000001,0.0
C0033,FO,MAN,A320,MAN-A320-FO,1.0,84.72,31,12,95.7499,96.4426834437086,-0.6927834437086062,0.0,0.9928166303656102,110.0,0.0,8111.931527999999,0.0
C0034,FO,MAN,A320,MAN-A320-FO,1.0,84.86,25,9,75.5835,77.77635761589403,-2.1928576158940274,0.0,0.9718056015592339,110.0,0.0,6414.01581,0.0
C0035,FO,MAN,A320,MAN-A320-FO,1.0,82.49,29,11,93.5,90.22057483443709,3.2794251655629125,0.0,1.0363489721893366,110.0,0.0,7712.815,0.0
C0036,FO,MAN,A320,MAN-A320-FO,1.0,76.26,31,12,96.7499,96.4426834437086,0.30721655629139377,0.0,1.0031854832872906,110.0,0.0,7378.147374,0.0
C0037,CPT,MAN,B737,MAN-B737-CPT,1.0,168.5,29,10,91.4998,94.1389083993661,-2.6391083993661084,0.0,0.9719658062299787,110.0,0.0,15417.716299999998,0.0
C0038,CPT,MAN,B737,MAN-B737-CPT,1.0,135.14,31,12,102.83330000000001,100.6312469096672,2.202053090332811,0.0,1.0218823989362817,110.0,0.0,13896.892162,0.0
C0039,CPT,MAN,B737,MAN-B737-CPT,1.0,184.92,31,12,97.2498,100.6312469096672,-3.381446909667204,0.0,0.9663976447325293,110.0,0.0,17983.433016,0.0
C0040,CPT,MAN,B737,MAN-B737-CPT,1.0,142.65,31,12,96.9168,100.6312469096672,-3.7144469096672026,0.0,0.9630885333955812,110.0,0.0,13825.18152,0.0
