pool_id,status,cbc_result,objective,best_bound,gap,build_seconds,solve_seconds,wall_seconds,n_variables,n_binaries,n_constraints,nodes,time_limit_hit,constraints_coverage,constraints_rest,constraints_hours_7d,constraints_days_7d,constraints_hours_month,constraints_overtime_link,constraints_fairness_link,uncovered_seats,pay_cost,overtime_cost,fairness_total_dev_hours,fairness_max_dev_hours
BHX-A320-CPT,FEASIBLE,Stopped on time limit,221.16562192400016,165.24,0.2528676086160355,0.158,59.945,60.103,1599,1421,1625,340,True,129,887,280,281,12,12,24,0.0,165702.9947,0.0,0.4622,0.4622
BHX-A320-FO,FEASIBLE,Stopped on time limit,100.11580728399997,78.034,0.22056264523103908,0.162,59.952,60.113,1505,1327,1551,408,True,129,827,273,275,11,12,24,0.0,78385.1189,0.0,0.1811,0.1811
BHX-E190-CPT,OPTIMAL,Optimal solution found (within gap tolerance),132.84631812100005,132.673,0.0013046512952070532,0.111,33.636,33.748,1045,907,1327,1932,False,97,713,237,240,10,10,20,0.0,132846.3181,0.0,0.0,0.0
BHX-E190-FO,OPTIMAL,Optimal solution found (within gap tolerance),65.40122862500002,65.144,0.003933085515486528,0.116,4.919,5.035,1064,926,1361,6,False,97,734,244,246,10,10,20,0.0,65401.2286,0.0,0.0,0.0
EDI-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),127.12458044100003,126.865,0.002041937445138818,0.098,0.461,0.559,905,770,1101,0,False,98,558,202,207,9,9,18,0.0,127124.5804,0.0,0.0,0.0
EDI-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),63.1512650295,62.977,0.002759485964669136,0.102,0.982,1.084,961,826,1168,0,False,98,597,217,220,9,9,18,0.0,62869.3987,281.8664,0.0,0.0
EDI-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),137.48942772499998,137.229,0.0018941654591861903,0.078,9.931,10.009,690,559,810,3889,False,98,377,149,155,7,8,16,0.0,129214.563,8274.8647,0.0,0.0
EDI-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),59.056751624000015,58.831,0.003822621762831068,0.104,0.532,0.636,872,741,1036,0,False,98,511,197,198,8,8,16,0.0,59056.7516,0.0,0.0,0.0
MAN-A320-CPT,FEASIBLE,Stopped on time limit,266.57915103399995,241.08,0.09565320819386859,0.281,60.684,60.965,2818,2563,2342,51,True,190,1374,355,360,15,16,32,0.0,239515.1237,3884.0197,0.1932,0.1932
MAN-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),120.64575350799994,120.241,0.0033548922878011045,0.335,1.047,1.382,3331,3068,2780,0,False,190,1659,428,431,18,18,36,0.0,120645.7535,0.0,0.0,0.0
MAN-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),167.813181488,167.343,0.0028018149934999617,0.163,0.761,0.924,1615,1438,1619,0,False,128,859,292,292,12,12,24,0.0,167813.1815,0.0,0.0,0.0
MAN-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),76.62176358300002,76.32,0.003938353398419772,0.154,39.411,39.564,1528,1351,1554,1056,False,128,815,280,283,12,12,24,0.0,76621.7636,0.0,0.0,0.0
