crew_id,rank,base,type_ratings,pool_id,fte,hourly_rate_gbp,available_days,duties,hours,target_hours,deviation_hours,dev_outside_band,utilisation,overtime_threshold_hours,overtime_hours,pay_cost,overtime_cost
C0001,CPT,MAN,A320,MAN-A320-CPT,1.0,183.17,21,10,79.08330000000001,79.01847911275416,0.064820887245844,0.0,1.0008203256753823,110.0,0.0,14485.688061,0.0
C0002,CPT,MAN,A320,MAN-A320-CPT,1.0,130.86,29,14,117.7501,109.12075686999384,8.629343130006163,4.629343130006163,1.0790806751852642,110.0,7.750100000000003,15408.778086000002,507.0890430000003
C0003,CPT,MAN,A320,MAN-A320-CPT,1.0,132.32,31,14,113.4168,116.64632630930376,-3.2295263093037647,0.0,0.9723135188952267,110.0,3.416799999999995,15007.310975999999,226.05548799999966
C0004,CPT,MAN,A320,MAN-A320-CPT,1.0,176.86,24,12,88.9999,90.30683327171904,-1.3069332717190463,0.0,0.985527858475707,110.0,0.0,15740.522314,0.0
C0005,CPT,MAN,A320,MAN-A320-CPT,1.0,159.21,31,14,113.2499,116.64632630930376,-3.396426309303763,0.0,0.9708826980088711,110.0,3.2498999999999967,18030.516579,258.70828949999975
C0007,CPT,MAN,A320,MAN-A320-CPT,1.0,180.77,31,14,108.3334,116.64632630930376,-8.312926309303762,4.312926309303762,0.9287339209701222,110.0,0.0,19583.428718,0.0
C0008,CPT,MAN,A320,MAN-A320-CPT,1.0,139.53,20,13,109.4166,75.2556943930992,34.1609056069008,30.160905606900798,1.4539311726825723,110.0,0.0,15266.898198,0.0
C0010,CPT,MAN,A320,MAN-A320-CPT,1.0,131.11,29,14,113.6666,109.12075686999384,4.545843130006162,0.5458431300061619,1.0416588306422954,110.0,3.6666000000000025,14902.827926000002,240.36396300000018
C0011,CPT,MAN,A320,MAN-A320-CPT,1.0,129.68,31,14,108.7501,116.64632630930376,-7.896226309303756,3.8962263093037564,0.9323062580782371,110.0,0.0,14102.712968000002,0.0
C0012,CPT,MAN,A320,MAN-A320-CPT,1.0,172.54,31,13,104.0,116.64632630930376,-12.64632630930376,8.64632630930376,0.8915840154642308,110.0,0.0,17944.16,0.0
C0013,CPT,MAN,A320,MAN-A320-CPT,1.0,185.4,29,11,92.5832,109.12075686999384,-16.537556869993836,12.537556869993836,0.8484471942428274,110.0,0.0,17164.925280000003,0.0
C0014,CPT,MAN,A320,MAN-A320-CPT,1.0,154.27,31,14,109.9999,116.64632630930376,-6.646426309303763,2.646426309303763,0.9430206975256139,110.0,0.0,16969.684573000002,0.0
C0015,CPT,MAN,A320,MAN-A320-CPT,1.0,158.07,31,14,108.4166,116.64632630930376,-8.229726309303757,4.229726309303757,0.9294471881824936,110.0,0.0,17137.411962,0.0
C0016,CPT,MAN,A320,MAN-A320-CPT,0.75,173.03,30,9,76.16669999999999,84.66265619223661,-8.49595619223662,4.495956192236619,0.8996493073292486,82.5,0.0,13179.124101,0.0
C0017,CPT,MAN,A320,MAN-A320-CPT,1.0,175.12,0,0,0.0,0.0,0.0,0.0,,110.0,0.0,0.0,0.0
C0018,CPT,MAN,A320,MAN-A320-CPT,0.75,148.09,19,10,82.9168,53.619682255083184,29.29711774491681,25.29711774491681,1.5463873807670583,82.5,0.41679999999999495,12279.148911999999,30.861955999999626
C0019,FO,MAN,A320,MAN-A320-FO,1.0,83.05,29,10,83.8333,90.22057483443709,-6.387274834437093,2.3872748344370933,0.929203789200431,110.0,0.0,6962.355564999999,0.0
