pool_id,status,cbc_result,objective,best_bound,gap,build_seconds,solve_seconds,wall_seconds,n_variables,n_binaries,n_constraints,nodes,time_limit_hit,constraints_coverage,constraints_rest,constraints_hours_7d,constraints_days_7d,constraints_hours_month,constraints_overtime_link,constraints_fairness_link,uncovered_seats,pay_cost,overtime_cost,fairness_total_dev_hours,fairness_max_dev_hours
BHX-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),163817.9097475,163341.399,0.0029087829788236493,0.159,0.795,0.954,1599,1421,1625,0,False,129,887,280,281,12,12,24,0.0,161704.7517,135.8413,201.4859,38.7955
BHX-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),78173.96013155002,78014.666,0.0020376878858633135,0.154,0.804,0.958,1505,1327,1551,0,False,129,827,273,275,11,12,24,0.0,78157.8002,0.0,0.8044,0.4855
BHX-E190-CPT,OPTIMAL,Optimal solution found (within gap tolerance),129738.94830635002,129563.816,0.0013498822723341357,0.112,0.789,0.901,1045,907,1327,0,False,97,713,237,240,10,10,20,0.0,127206.7572,272.7321,237.8518,42.808
BHX-E190-FO,OPTIMAL,Optimal solution found (within gap tolerance),64577.56597799998,64502.237,0.001166488344042553,0.124,0.4,0.524,1064,926,1361,0,False,97,734,244,246,10,10,20,0.0,63332.5049,24.4275,119.6667,24.892
EDI-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),126050.49712949993,125848.466,0.00160277931543869,0.095,1.196,1.291,905,770,1101,0,False,98,558,202,207,9,9,18,0.0,123654.5951,44.2322,206.1669,52.8334
EDI-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),63082.83273065002,62977.371,0.0016717976362970394,0.104,0.746,0.85,961,826,1168,0,False,98,597,217,220,9,9,18,0.0,62909.6898,123.158,2.1852,1.5624
EDI-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),133259.79300002492,132936.074,0.002429232349361853,0.073,0.581,0.654,690,559,810,0,False,98,377,149,155,7,8,16,0.0,126895.119,4963.843,111.4164,33.7499
EDI-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),58879.110066399975,58804.883,0.0012606689590971233,0.093,0.282,0.375,872,741,1036,0,False,98,511,197,198,8,8,16,0.0,58694.0366,27.6385,12.7724,3.7429
MAN-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),239727.23181815003,238970.593,0.0031562489267969386,0.287,1.994,2.281,2818,2563,2342,0,False,190,1374,355,360,15,16,32,0.0,237203.1387,1263.0787,101.3984,30.1609
MAN-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),119959.54453994996,119796.005,0.0013632891036485268,0.314,1.835,2.149,3331,3068,2780,0,False,190,1659,428,431,18,18,36,0.0,118859.5346,0.0,132.083,17.5838
MAN-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),166539.39262575,166197.209,0.002054670792026793,0.166,0.747,0.913,1615,1438,1619,0,False,128,859,292,292,12,12,24,0.0,164768.0024,157.9983,153.9039,33.7549
MAN-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),76123.28616070004,76034.941,0.001160553690673975,0.158,0.733,0.891,1528,1351,1554,0,False,128,815,280,283,12,12,24,0.0,74926.9245,11.3399,121.2394,23.153
