crew_id,duty_id
C0061,D20261002-BHX-A320-03
C0061,D20261008-BHX-A320-01
C0061,D20261012-BHX-A320-02
C0061,D20261014-BHX-A320-04
C0061,D20261015-BHX-A320-03
C0061,D20261018-BHX-A320-05
C0061,D20261019-BHX-A320-04
C0061,D20261021-BHX-A320-02
C0061,D20261026-BHX-A320-03
C0061,D20261028-BHX-A320-03
C0062,D20261001-BHX-A320-03
C0062,D20261004-BHX-A320-05
C0062,D20261007-BHX-A320-01
C0062,D20261009-BHX-A320-02
C0062,D20261011-BHX-A320-03
C0062,D20261015-BHX-A320-04
C0062,D20261016-BHX-A320-02
C0062,D20261017-BHX-A320-02
C0062,D20261022-BHX-A320-01
C0062,D20261025-BHX-A320-04
C0062,D20261028-BHX-A320-04
C0062,D20261030-BHX-A320-03
C0063,D20261005-BHX-A320-02
C0063,D20261006-BHX-A320-02
C0063,D20261009-BHX-A320-03
C0063,D20261011-BHX-A320-04
C0063,D20261012-BHX-A320-03
C0063,D20261016-BHX-A320-05
C0063,D20261018-BHX-A320-04
C0063,D20261019-BHX-A320-03
C0063,D20261020-BHX-A320-03
C0063,D20261023-BHX-A320-04
C0063,D20261026-BHX-A320-02
C0063,D20261028-BHX-A320-01
C0063,D20261030-BHX-A320-01
C0064,D20261006-BHX-A320-01
C0064,D20261008-BHX-A320-03
C0064,D20261011-BHX-A320-02
C0064,D20261013-BHX-A320-03
C0064,D20261015-BHX-A320-02
C0064,D20261017-BHX-A320-01
C0064,D20261018-BHX-A320-03
C0064,D20261021-BHX-A320-03
C0064,D20261022-BHX-A320-03
C0064,D20261025-BHX-A320-01
C0064,D20261029-BHX-A320-01
C0064,D20261030-BHX-A320-05
C0065,D20261001-BHX-A320-02
C0065,D20261002-BHX-A320-05
C0065,D20261003-BHX-A320-02
C0065,D20261004-BHX-A320-02
C0065,D20261014-BHX-A320-02
C0065,D20261019-BHX-A320-01
C0065,D20261020-BHX-A320-02
C0065,D20261023-BHX-A320-02
C0065,D20261024-BHX-A320-02
C0065,D20261027-BHX-A320-01
C0065,D20261031-BHX-A320-01
C0066,D20261001-BHX-A320-04
C0066,D20261005-BHX-A320-01
C0067,D20261002-BHX-A320-02
C0067,D20261004-BHX-A320-01
C0067,D20261006-BHX-A320-03
C0067,D20261008-BHX-A320-02
C0067,D20261022-BHX-A320-04
C0067,D20261023-BHX-A320-03
C0067,D20261029-BHX-A320-04
C0067,D20261030-BHX-A320-02
C0067,D20261031-BHX-A320-02
C0068,D20261003-BHX-A320-03
C0068,D20261005-BHX-A320-03
C0068,D20261007-BHX-A320-02
C0068,D20261009-BHX-A320-01
C0068,D20261010-BHX-A320-01
C0068,D20261012-BHX-A320-04
C0068,D20261016-BHX-A320-04
C0068,D20261017-BHX-A320-04
C0068,D20261021-BHX-A320-01
C0068,D20261024-BHX-A320-01
C0068,D20261025-BHX-A320-03
C0068,D20261028-BHX-A320-02
C0068,D20261031-BHX-A320-03
C0069,D20261001-BHX-A320-01
C0069,D20261002-BHX-A320-04
C0069,D20261003-BHX-A320-01
C0069,D20261007-BHX-A320-03
C0069,D20261010-BHX-A320-03
C0069,D20261013-BHX-A320-02
C0069,D20261014-BHX-A320-03
C0069,D20261016-BHX-A320-01
C0069,D20261018-BHX-A320-01
C0069,D20261024-BHX-A320-03
C0069,D20261026-BHX-A320-01
C0069,D20261027-BHX-A320-02
C0070,D20261007-BHX-A320-04
C0070,D20261009-BHX-A320-05
C0070,D20261011-BHX-A320-05
C0070,D20261015-BHX-A320-01
C0070,D20261017-BHX-A320-03
C0070,D20261019-BHX-A320-02
C0070,D20261022-BHX-A320-02
C0070,D20261024-BHX-A320-04
C0070,D20261025-BHX-A320-02
C0070,D20261027-BHX-A320-03
C0070,D20261029-BHX-A320-02
C0070,D20261031-BHX-A320-04
C0071,D20261002-BHX-A320-01
C0071,D20261004-BHX-A320-03
C0071,D20261009-BHX-A320-04
C0071,D20261010-BHX-A320-02
C0071,D20261011-BHX-A320-01
C0071,D20261013-BHX-A320-01
C0071,D20261018-BHX-A320-02
C0071,D20261021-BHX-A320-04
C0071,D20261023-BHX-A320-01
C0071,D20261025-BHX-A320-05
C0071,D20261030-BHX-A320-04
C0072,D20261003-BHX-A320-04
C0072,D20261004-BHX-A320-04
C0072,D20261005-BHX-A320-04
C0072,D20261008-BHX-A320-04
C0072,D20261010-BHX-A320-04
C0072,D20261012-BHX-A320-01
C0072,D20261014-BHX-A320-01
C0072,D20261016-BHX-A320-03
C0072,D20261020-BHX-A320-01
C0072,D20261023-BHX-A320-05
C0072,D20261026-BHX-A320-04
C0072,D20261029-BHX-A320-03
C0073,D20261002-BHX-A320-01
C0073,D20261007-BHX-A320-02
C0073,D20261009-BHX-A320-03
C0073,D20261010-BHX-A320-02
C0073,D20261014-BHX-A320-01
C0073,D20261015-BHX-A320-04
C0073,D20261018-BHX-A320-05
C0073,D20261019-BHX-A320-03
C0073,D20261021-BHX-A320-02
C0073,D20261022-BHX-A320-03
C0073,D20261025-BHX-A320-04
C0073,D20261026-BHX-A320-03
C0073,D20261028-BHX-A320-01
C0073,D20261030-BHX-A320-02
C0074,D20261004-BHX-A320-05
C0074,D20261016-BHX-A320-01
C0074,D20261017-BHX-A320-02
C0074,D20261020-BHX-A320-03
C0074,D20261022-BHX-A320-04
C0074,D20261024-BHX-A320-01
C0074,D20261025-BHX-A320-01
C0074,D20261030-BHX-A320-01
C0075,D20261003-BHX-A320-03
C0075,D20261004-BHX-A320-03
C0075,D20261012-BHX-A320-01
C0075,D20261014-BHX-A320-03
C0075,D20261016-BHX-A320-05
C0075,D20261018-BHX-A320-03
C0075,D20261021-BHX-A320-01
C0075,D20261023-BHX-A320-01
C0076,D20261001-BHX-A320-02
C0076,D20261006-BHX-A320-02
C0076,D20261007-BHX-A320-04
C0076,D20261008-BHX-A320-01
C0076,D20261011-BHX-A320-05
C0076,D20261013-BHX-A320-03
C0076,D20261015-BHX-A320-03
C0076,D20261020-BHX-A320-02
C0076,D20261022-BHX-A320-02
C0076,D20261027-BHX-A320-03
C0076,D20261028-BHX-A320-03
C0076,D20261030-BHX-A320-05
