crew_id,rank,base,type_ratings,pool_id,fte,hourly_rate_gbp,available_days,duties,hours,target_hours,deviation_hours,dev_outside_band,utilisation,overtime_threshold_hours,overtime_hours,pay_cost,overtime_cost
C0001,CPT,MAN,A320,MAN-A320-CPT,1.0,183.17,21,10,81.4166,79.01847911275416,2.398120887245838,0.0,1.0303488616102554,110.0,0.0,14913.078621999999,0.0
C0002,CPT,MAN,A320,MAN-A320-CPT,1.0,130.86,29,15,114.0832,109.12075686999384,4.962443130006164,0.9624431300061644,1.0454766194109009,110.0,4.083200000000005,14928.927552000003,267.1637760000004
C0003,CPT,MAN,A320,MAN-A320-CPT,1.0,132.32,31,15,114.83330000000001,116.64632630930376,-1.8130263093037513,0.0,0.9844570646443142,110.0,4.833300000000008,15194.742256,319.77112800000054
C0004,CPT,MAN,A320,MAN-A320-CPT,1.0,176.86,24,13,98.5835,90.30683327171904,8.276666728280958,4.276666728280958,1.091650503383036,110.0,0.0,17435.47781,0.0
C0005,CPT,MAN,A320,MAN-A320-CPT,1.0,159.21,31,14,110.2501,116.64632630930376,-6.396226309303756,2.3962263093037564,0.9451656429166635,110.0,0.2501000000000033,17552.918421000002,19.909210500000267
C0007,CPT,MAN,A320,MAN-A320-CPT,1.0,180.77,31,13,110.6668,116.64632630930376,-5.979526309303765,1.9795263093037647,0.9487379800247783,110.0,0.666799999999995,20005.237436,60.268717999999545
C0008,CPT,MAN,A320,MAN-A320-CPT,1.0,139.53,20,11,85.4166,75.2556943930992,10.160905606900798,6.160905606900798,1.1350184286895975,110.0,0.0,11918.178198,0.0
C0010,CPT,MAN,A320,MAN-A320-CPT,1.0,131.11,29,14,113.2499,109.12075686999384,4.129143130006156,0.12914313000615607,1.0378401254577587,110.0,3.2498999999999967,14848.194389,213.04719449999982
C0011,CPT,MAN,A320,MAN-A320-CPT,1.0,129.68,31,14,115.0,116.64632630930376,-1.6463263093037597,0.0,0.9858861709460245,110.0,5.0,14913.2,324.20000000000005
C0012,CPT,MAN,A320,MAN-A320-CPT,1.0,172.54,31,13,109.58330000000001,116.64632630930376,-7.063026309303751,3.0630263093037513,0.9394492177098217,110.0,0.0,18907.502582,0.0
C0013,CPT,MAN,A320,MAN-A320-CPT,1.0,185.4,29,13,106.1664,109.12075686999384,-2.9543568699938447,0.0,0.9729258029843612,110.0,0.0,19683.25056,0.0
C0014,CPT,MAN,A320,MAN-A320-CPT,1.0,154.27,31,13,110.7502,116.64632630930376,-5.896126309303753,1.896126309303753,0.9494529618217948,110.0,0.7502000000000066,17085.433354,57.866677000000514
C0015,CPT,MAN,A320,MAN-A320-CPT,1.0,158.07,31,14,110.9168,116.64632630930376,-5.729526309303765,1.7295263093037647,0.9508812108311826,110.0,0.916799999999995,17532.618575999997,72.4592879999996
C0016,CPT,MAN,A320,MAN-A320-CPT,0.75,173.03,30,11,84.9999,84.66265619223661,0.3372438077633859,0.0,1.003983383264017,82.5,2.4998999999999967,14707.532696999999,216.27884849999973
C0017,CPT,MAN,A320,MAN-A320-CPT,1.0,175.12,0,0,0.0,0.0,0.0,0.0,,110.0,0.0,0.0,0.0
C0018,CPT,MAN,A320,MAN-A320-CPT,0.75,148.09,19,7,60.8333,53.619682255083184,7.213617744916817,3.2136177449168173,1.1345330192484115,82.5,0.0,9008.803397,0.0
C0019,FO,MAN,A320,MAN-A320-FO,1.0,83.05,29,11,89.5,90.22057483443709,-0.7205748344370875,0.0,0.9920131872828409,110.0,0.0,7432.974999999999,0.0
C0020,FO,MAN,A320,MAN-A320-FO,1.0,81.61,31,12,94.41669999999999,96.4426834437086,-2.0259834437086113,0.0,0.9789928756504258,110.0,0.0,7705.346887,0.0
C0021,FO,MAN,A320,MAN-A320-FO,1.0,87.24,31,12,92.25,96.4426834437086,-4.192683443708603,0.1926834437086029,0.9565266820250208,110.0,0.0,8047.889999999999,0.0
C0022,FO,MAN,A320,MAN-A320-FO,0.75,58.81,30,9,72.6668,69.99872185430463,2.668078145695361,0.0,1.038116098051743,82.5,0.0,4273.534508,0.0
C0023,FO,MAN,A320,MAN-A320-FO,1.0,80.61,23,9,72.58330000000001,71.55424900662251,1.0290509933774956,0.0,1.0143814100163675,110.0,0.0,5850.939813000001,0.0
C0024,FO,MAN,A320,MAN-A320-FO,1.0,59.32,31,13,101.4999,96.4426834437086,5.057216556291394,1.0572165562913938,1.0524375346652728,110.0,0.0,6020.9740679999995,0.0
C0025,FO,MAN,A320,MAN-A320-FO,1.0,78.68,29,11,92.5832,90.22057483443709,2.3626251655629176,0.0,1.026187210288768,110.0,0.0,7284.446176000001,0.0
C0026,FO,MAN,A320,MAN-A320-FO,1.0,85.93,22,9,64.8334,68.44319470198676,-3.6097947019867576,0.0,0.9472585299721263,110.0,0.0,5571.134062,0.0
C0027,FO,MAN,A320,MAN-A320-FO,1.0,60.31,29,12,94.25,90.22057483443709,4.0294251655629125,0.029425165562912525,1.0446619318593044,110.0,0.0,5684.217500000001,0.0
C0028,FO,MAN,A320,MAN-A320-FO,1.0,76.92,31,11,94.0,96.4426834437086,-2.442683443708603,0.0,0.9746721746379616,110.0,0.0,7230.4800000000005,0.0
C0029,FO,MAN,A320,MAN-A320-FO,1.0,90.06,31,12,95.9168,96.4426834437086,-0.525883443708608,0.0,0.9945471919182386,110.0,0.0,8638.267007999999,0.0
C0030,FO,MAN,A320,MAN-A320-FO,0.75,66.56,11,4,30.9166,25.666198013245033,5.250401986754966,1.2504019867549658,1.2045648515625687,82.5,0.0,2057.808896,0.0
C0031,FO,MAN,A320,MAN-A320-FO,1.0,88.63,31,11,90.2501,96.4426834437086,-6.1925834437086,2.1925834437085996,0.9357900130669522,110.0,0.0,7998.866363,0.0
C0032,FO,MAN,A320,MAN-A320-FO,1.0,87.15,26,9,76.0,80.8874119205298,-4.8874119205298,0.8874119205298001,0.9395775955184278,110.0,0.0,6623.400000000001,0.0
C0033,FO,MAN,A320,MAN-A320-FO,1.0,84.72,31,12,98.3332,96.4426834437086,1.8905165562914021,0.0,1.0196024881181873,110.0,0.0,8330.788704,0.0
C0034,FO,MAN,A320,MAN-A320-FO,1.0,84.86,25,9,78.4166,77.77635761589403,0.6402423841059743,0.0,1.0082318381026258,110.0,0.0,6654.432676,0.0
C0035,FO,MAN,A320,MAN-A320-FO,1.0,82.49,29,12,90.3333,90.22057483443709,0.11272516556290668,0.0,1.0012494396734866,110.0,0.0,7451.593916999999,0.0
C0036,FO,MAN,A320,MAN-A320-FO,1.0,76.26,31,12,98.0,96.4426834437086,1.557316556291397,0.0,1.0161475863246834,110.0,0.0,7473.4800000000005,0.0
C0037,CPT,MAN,B737,MAN-B737-CPT,1.0,168.5,29,13,96.4165,94.1389083993661,2.2775916006338974,0.0,1.024193945302315,110.0,0.0,16246.18025,0.0
C0038,CPT,MAN,B737,MAN-B737-CPT,1.0,135.14,31,12,102.58330000000001,100.6312469096672,1.9520530903328108,0.0,1.0193980811157501,110.0,0.0,13863.107162,0.0
C0039,CPT,MAN,B737,MAN-B737-CPT,1.0,184.92,31,13,97.5833,100.6312469096672,-3.0479469096672034,0.0,0.9697117247051183,110.0,0.0,18045.103836,0.0
C0040,CPT,MAN,B737,MAN-B737-CPT,1.0,142.65,31,12,100.0833,100.6312469096672,-0.5479469096672034,0.0,0.9945549029104342,110.0,0.0,14276.882744999999,0.0
C0041,CPT,MAN,B737,MAN-B737-CPT,0.75,171.44,30,9,69.8334,73.03880824088749,-3.2054082408874933,0.0,0.9561136289311318,82.5,0.0,11972.238096,0.0
