pool_id,status,cbc_result,objective,best_bound,gap,build_seconds,solve_seconds,wall_seconds,n_variables,n_binaries,n_constraints,nodes,time_limit_hit,constraints_coverage,constraints_rest,constraints_hours_7d,constraints_days_7d,constraints_hours_month,constraints_overtime_link,constraints_fairness_link,uncovered_seats,pay_cost,overtime_cost,fairness_total_dev_hours,fairness_max_dev_hours
BHX-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),165752.17573459996,165239.695,0.0030918492160279987,0.158,0.852,1.01,1599,1421,1625,0,False,129,887,280,281,12,12,24,0.0,165514.8739,0.0,3.3031,1.7124
BHX-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),78334.37763160001,78033.692,0.003838488805184853,0.164,0.633,0.797,1505,1327,1553,0,False,129,827,273,277,11,12,24,0.0,78282.4445,0.0,0.5856,0.4022
BHX-E190-CPT,OPTIMAL,Optimal solution found (within gap tolerance),132987.794623,132672.863,0.0023681242620254366,0.111,0.816,0.927,1045,907,1327,0,False,97,713,237,240,10,10,20,0.0,132829.3658,0.0,2.1747,1.1493
BHX-E190-FO,OPTIMAL,Optimal solution found (within gap tolerance),65280.592525019994,65144.059,0.0020914872206109995,0.118,21.865,21.982,1064,926,1361,712,False,97,734,244,246,10,10,20,0.0,65262.0614,0.0,0.1665,0.152
EDI-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),127035.57600299997,126864.971,0.0013429702794115854,0.096,0.694,0.79,905,770,1103,0,False,98,558,202,209,9,9,18,0.0,127035.576,0.0,0.0,0.0
EDI-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),63153.01418809999,62977.371,0.002781232065611917,0.101,0.872,0.973,961,826,1169,0,False,98,597,217,221,9,9,18,0.0,63040.9984,87.2887,0.2061,0.2061
EDI-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),329376.3783765,329243.906,0.0004021914903337125,0.072,0.416,0.488,690,559,812,0,False,98,377,149,157,7,8,16,4.0,122047.0923,2903.5811,83.6667,27.5237
EDI-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),58995.58475098002,58830.717,0.0027945777921505677,0.111,0.573,0.684,872,741,1036,0,False,98,511,197,198,8,8,16,0.0,58947.4387,0.0,0.4166,0.3981
MAN-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),241318.29540570005,240768.313,0.00227907463367181,0.267,1.605,1.872,2818,2563,2343,0,False,190,1374,355,361,15,16,32,0.0,238635.0959,1550.9648,25.8072,6.1609
MAN-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),120662.02836852,120240.775,0.0034911842127618815,0.328,0.966,1.295,3331,3068,2780,0,False,190,1659,428,431,18,18,36,0.0,120330.5756,0.0,5.6097,2.1926
MAN-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),167718.47330052,167342.846,0.002239629857868826,0.161,0.913,1.074,1615,1438,1619,0,False,128,859,292,292,12,12,24,0.0,167708.6546,0.0,0.0818,0.0818
MAN-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),76673.974184926,76320.493,0.004610184729351023,0.153,8.56,8.713,1528,1351,1556,5,False,128,815,280,285,12,12,24,0.0,76302.243,42.7904,6.3412,2.0212
