crew_id,rank,base,type_ratings,pool_id,fte,hourly_rate_gbp,available_days,duties,hours,target_hours,deviation_hours,dev_outside_band,utilisation,overtime_threshold_hours,overtime_hours,pay_cost,overtime_cost
C0001,CPT,MAN,A320,MAN-A320-CPT,1.0,183.17,21,10,83.83330000000001,79.01847911275416,4.814820887245844,0.814820887245844,1.0609328468645343,110.0,0.0,15355.745561,0.0
C0002,CPT,MAN,A320,MAN-A320-CPT,1.0,130.86,29,15,114.3332,109.12075686999384,5.212443130006164,1.2124431300061644,1.0477676592384366,110.0,4.333200000000005,14961.642552000003,283.52127600000034
C0003,CPT,MAN,A320,MAN-A320-CPT,1.0,132.32,31,15,113.5001,116.64632630930376,-3.1462263093037564,0.0,0.9730276433999206,110.0,3.5001000000000033,15018.333231999999,231.5666160000002
C0004,CPT,MAN,A320,MAN-A320-CPT,1.0,176.86,24,13,99.0834,90.30683327171904,8.776566728280955,4.7765667282809545,1.0971860756303307,110.0,0.0,17523.890124,0.0
C0005,CPT,MAN,A320,MAN-A320-CPT,1.0,159.21,31,14,112.9168,116.64632630930376,-3.7295263093037647,0.0,0.9680270572824179,110.0,2.916799999999995,17977.483728,232.1918639999996
C0007,CPT,MAN,A320,MAN-A320-CPT,1.0,180.77,31,13,108.0834,116.64632630930376,-8.562926309303762,4.562926309303762,0.9265906901637178,110.0,0.0,19538.236218000002,0.0
C0008,CPT,MAN,A320,MAN-A320-CPT,1.0,139.53,20,11,83.9999,75.2556943930992,8.744205606900792,4.744205606900792,1.116193275172312,110.0,0.0,11720.506046999999,0.0
C0010,CPT,MAN,A320,MAN-A320-CPT,1.0,131.11,29,14,107.8333,109.12075686999384,-1.2874568699938465,0.0,0.9882015401384384,110.0,0.0,14138.023963000001,0.0
C0011,CPT,MAN,A320,MAN-A320-CPT,1.0,129.68,31,14,118.0832,116.64632630930376,1.4368736906962454,0.0,1.0123182078352486,110.0,8.083200000000005,15313.029376000002,524.1146880000003
C0012,CPT,MAN,A320,MAN-A320-CPT,1.0,172.54,31,13,109.4167,116.64632630930376,-7.229626309303754,3.229626309303754,0.9380209687004337,110.0,0.0,18878.757418,0.0
C0013,CPT,MAN,A320,MAN-A320-CPT,1.0,185.4,29,14,111.4164,109.12075686999384,2.2956431300061553,0.0,1.0210376393626117,110.0,1.4163999999999959,20656.60056,131.30027999999962
C0014,CPT,MAN,A320,MAN-A320-CPT,1.0,154.27,31,13,110.5002,116.64632630930376,-6.146126309303753,2.146126309303753,0.9473097310153904,110.0,0.5002000000000066,17046.865854000003,38.58292700000052
C0015,CPT,MAN,A320,MAN-A320-CPT,1.0,158.07,31,14,110.1667,116.64632630930376,-6.479626309303754,2.479626309303754,0.9444506611196469,110.0,0.16670000000000584,17414.050269,13.17513450000046
C0016,CPT,MAN,A320,MAN-A320-CPT,0.75,173.03,30,10,80.6666,84.66265619223661,-3.9960561922366082,0.0,0.9528002501697669,82.5,0.0,13957.741798000001,0.0
C0017,CPT,MAN,A320,MAN-A320-CPT,1.0,175.12,0,0,0.0,0.0,0.0,0.0,,110.0,0.0,0.0,0.0
C0018,CPT,MAN,A320,MAN-A320-CPT,0.75,148.09,19,7,62.9167,53.619682255083184,9.297017744916815,5.297017744916815,1.1733881543849591,82.5,0.0,9317.334103,0.0
C0019,FO,MAN,A320,MAN-A320-FO,1.0,83.05,29,11,90.8334,90.22057483443709,0.61282516556291,0.0,1.0067925211814213,110.0,0.0,7543.71387,0.0
C0020,FO,MAN,A320,MAN-A320-FO,1.0,81.61,31,12,91.8334,96.4426834437086,-4.609283443708605,0.6092834437086054,0.9522070178978488,110.0,0.0,7494.523773999999,0.0
C0021,FO,MAN,A320,MAN-A320-FO,1.0,87.24,31,12,93.41669999999999,96.4426834437086,-3.0259834437086113,0.0,0.9686240227287454,110.0,0.0,8149.672907999999,0.0
C0022,FO,MAN,A320,MAN-A320-FO,0.75,58.81,30,9,73.7501,69.99872185430463,3.7513781456953694,0.0,1.0535920949171542,82.5,0.0,4337.243381,0.0
C0023,FO,MAN,A320,MAN-A320-FO,1.0,80.61,23,9,68.75,71.55424900662251,-2.8042490066225128,0.0,0.9608094691013671,110.0,0.0,5541.9375,0.0
C0024,FO,MAN,A320,MAN-A320-FO,1.0,59.32,31,13,101.3332,96.4426834437086,4.890516556291402,0.8905165562914021,1.0507090468832287,110.0,0.0,6011.085424,0.0
C0025,FO,MAN,A320,MAN-A320-FO,1.0,78.68,29,11,90.8332,90.22057483443709,0.6126251655629176,0.0,1.006790304392176,110.0,0.0,7146.756176000001,0.0
C0026,FO,MAN,A320,MAN-A320-FO,1.0,85.93,22,8,64.5834,68.44319470198676,-3.8597947019867576,0.0,0.9436058658747162,110.0,0.0,5549.651562,0.0
C0027,FO,MAN,A320,MAN-A320-FO,1.0,60.31,29,12,93.5832,90.22057483443709,3.3626251655629176,0.0,1.0372711565153918,110.0,0.0,5644.002792,0.0
C0028,FO,MAN,A320,MAN-A320-FO,1.0,76.92,31,11,93.8334,96.4426834437086,-2.6092834437086054,0.0,0.9729447237412097,110.0,0.0,7217.665128,0.0
C0029,FO,MAN,A320,MAN-A320-FO,1.0,90.06,31,12,95.3334,96.4426834437086,-1.1092834437086054,0.0,0.9884980031237303,110.0,0.0,8585.726004,0.0
C0030,FO,MAN,A320,MAN-A320-FO,0.75,66.56,11,4,29.0,25.666198013245033,3.333801986754967,0.0,1.1298907607988748,82.5,0.0,1930.24,0.0
C0031,FO,MAN,A320,MAN-A320-FO,1.0,88.63,31,12,96.6667,96.4426834437086,0.22401655629140294,0.0,1.0023227947242068,110.0,0.0,8567.569621,0.0
C0032,FO,MAN,A320,MAN-A320-FO,1.0,87.15,26,9,76.1666,80.8874119205298,-4.720811920529798,0.7208119205297976,0.941637248510709,110.0,0.0,6637.9191900000005,0.0
C0033,FO,MAN,A320,MAN-A320-FO,1.0,84.72,31,12,101.2499,96.4426834437086,4.807216556291394,0.8072165562913938,1.0498453214348527,110.0,0.0,8577.891528,0.0
C0034,FO,MAN,A320,MAN-A320-FO,1.0,84.86,25,9,78.4166,77.77635761589403,0.6402423841059743,0.0,1.0082318381026258,110.0,0.0,6654.432676,0.0
