pool_id,status,cbc_result,objective,best_bound,gap,build_seconds,solve_seconds,wall_seconds,n_variables,n_binaries,n_constraints,nodes,time_limit_hit,constraints_coverage,constraints_rest,constraints_hours_7d,constraints_days_7d,constraints_hours_month,constraints_overtime_link,constraints_fairness_link,uncovered_seats,pay_cost,overtime_cost,fairness_total_dev_hours,fairness_max_dev_hours
BHX-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),165651.37303400008,165239.695,0.0024852074960801706,0.161,1.141,1.303,1599,1421,1626,0,False,129,887,281,281,12,12,24,0.0,165400.7915,0.0,4.9797,1.5099
BHX-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),78397.14871260003,78033.692,0.004636096064315385,0.152,1.168,1.32,1505,1327,1552,0,False,129,827,274,275,11,12,24,0.0,78074.1868,0.0,3.7195,2.4857
BHX-E190-CPT,OPTIMAL,Optimal solution found (within gap tolerance),132837.09518579996,132672.863,0.0012363427969441533,0.111,0.761,0.872,1045,907,1329,0,False,97,713,239,240,10,10,20,0.0,132791.8785,0.0,0.4673,0.3587
BHX-E190-FO,OPTIMAL,Optimal solution found (within gap tolerance),65456.88759799998,65144.059,0.004779154791489607,0.125,25.662,25.786,1064,926,1362,32347,False,97,734,245,246,10,10,20,0.0,65438.6343,0.0,0.1521,0.1521
EDI-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),127196.39704900004,126864.971,0.002605624504225186,0.098,0.76,0.858,905,770,1105,0,False,98,558,206,207,9,9,18,0.0,127016.3862,0.0,1.5001,1.5001
EDI-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),63189.97652199999,62977.371,0.003364545038657686,0.103,0.662,0.765,961,826,1171,0,False,98,597,220,220,9,9,18,0.0,63024.826,165.1506,0.0,0.0
EDI-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),136748.21450749994,136624.844,0.0009021727116822021,0.073,0.706,0.779,690,559,816,0,False,98,377,155,155,7,8,16,0.0,128151.3367,6273.306,48.9166,13.4524
EDI-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),59040.011463484014,58830.717,0.003544959736558733,0.094,0.39,0.484,872,741,1037,0,False,98,511,198,198,8,8,16,0.0,59039.1743,0.0,0.007,0.007
MAN-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),241387.66254229992,240768.313,0.00256578789395002,0.265,1.556,1.822,2818,2563,2345,0,False,190,1374,358,360,15,16,32,0.0,238818.2408,1454.4528,29.2634,5.297
MAN-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),120570.03834259996,120240.775,0.0027308885949290673,0.317,1.577,1.894,3331,3068,2782,0,False,190,1659,430,431,18,18,36,0.0,120420.4301,0.0,3.0278,0.8905
MAN-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),167619.42832340003,167342.846,0.0016500612498594849,0.161,0.959,1.12,1615,1438,1619,0,False,128,859,292,292,12,12,24,0.0,167500.4529,0.0,1.3417,0.9214
MAN-B737-FO,FEASIBLE,Stopped on time limit,76744.0541274,76320.493,0.0055191393289812166,0.155,59.985,60.14,1528,1351,1557,613,True,128,815,283,283,12,12,24,0.0,76568.3634,0.0,2.6486,1.2272
