crew_id,rank,base,type_ratings,pool_id,fte,hourly_rate_gbp,available_days,duties,hours,target_hours,deviation_hours,dev_outside_band,utilisation,overtime_threshold_hours,overtime_hours,pay_cost,overtime_cost
C0001,CPT,MAN,A320,MAN-A320-CPT,1.0,183.17,21,9,81.4166,79.01847911275416,2.398120887245838,0.0,1.0303488616102554,110.0,0.0,14913.078621999999,0.0
C0002,CPT,MAN,A320,MAN-A320-CPT,1.0,130.86,29,14,106.75,109.12075686999384,-2.3707568699938406,0.0,0.9782740063577605,110.0,0.0,13969.305000000002,0.0
C0003,CPT,MAN,A320,MAN-A320-CPT,1.0,132.32,31,15,117.0,116.64632630930376,0.35367369069624033,0.0,1.0030320173972598,110.0,7.0,15481.439999999999,463.12
C0004,CPT,MAN,A320,MAN-A320-CPT,1.0,176.86,24,13,100.8334,90.30683327171904,10.526566728280955,6.5265667282809545,1.1165644541715705,110.0,0.0,17833.395124000002,0.0
C0005,CPT,MAN,A320,MAN-A320-CPT,1.0,159.21,31,14,112.1668,116.64632630930376,-4.479526309303765,0.4795263093037647,0.9615973648632047,110.0,2.166799999999995,17858.076228,172.4881139999996
C0007,CPT,MAN,A320,MAN-A320-CPT,1.0,180.77,31,13,109.0833,116.64632630930376,-7.5630263093037655,3.5630263093037655,0.9351627560970127,110.0,0.0,19718.988141,0.0
C0008,CPT,MAN,A320,MAN-A320-CPT,1.0,139.53,20,11,86.25,75.2556943930992,10.994305606900795,6.994305606900795,1.1460926737247534,110.0,0.0,12034.4625,0.0
C0010,CPT,MAN,A320,MAN-A320-CPT,1.0,131.11,29,14,112.1666,109.12075686999384,3.045843130006162,0.0,1.0279125916770808,110.0,2.1666000000000025,14706.162926000003,142.03146300000017
C0011,CPT,MAN,A320,MAN-A320-CPT,1.0,129.68,31,15,117.2499,116.64632630930376,0.603573690696237,0.0,1.0051743909113415,110.0,7.249899999999997,15204.967032,470.0835159999998
C0012,CPT,MAN,A320,MAN-A320-CPT,1.0,172.54,31,14,108.5834,116.64632630930376,-8.062926309303762,4.062926309303762,0.9308771517765265,110.0,0.0,18734.979836,0.0
C0013,CPT,MAN,A320,MAN-A320-CPT,1.0,185.4,29,13,104.9997,109.12075686999384,-4.121056869993836,0.12105686999383636,0.9622339783172174,110.0,0.0,19466.94438,0.0
C0014,CPT,MAN,A320,MAN-A320-CPT,1.0,154.27,31,14,114.4167,116.64632630930376,-2.229626309303754,0.0,0.9808855848285218,110.0,4.416700000000006,17651.064309,340.6821545000005
C0015,CPT,MAN,A320,MAN-A320-CPT,1.0,158.07,31,14,111.6668,116.64632630930376,-4.979526309303765,0.9795263093037647,0.9573109032503958,110.0,1.666799999999995,17651.171076,131.7355379999996
C0016,CPT,MAN,A320,MAN-A320-CPT,0.75,173.03,30,10,79.5,84.66265619223661,-5.162656192236611,1.1626561922366108,0.9390208573126482,82.5,0.0,13755.885,0.0
C0017,CPT,MAN,A320,MAN-A320-CPT,1.0,175.12,0,0,0.0,0.0,0.0,0.0,,110.0,0.0,0.0,0.0
C0018,CPT,MAN,A320,MAN-A320-CPT,0.75,148.09,19,7,64.6667,53.619682255083184,11.047017744916822,7.047017744916822,1.2060254235070473,82.5,0.0,9576.491603,0.0
C0019,FO,MAN,A320,MAN-A320-FO,1.0,83.05,29,11,86.4167,90.22057483443709,-3.8038748344370816,0.0,0.9578380558822914,110.0,0.0,7176.906935,0.0
C0020,FO,MAN,A320,MAN-A320-FO,1.0,81.61,31,13,98.1665,96.4426834437086,1.7238165562913963,0.0,1.017874000336143,110.0,0.0,8011.368065,0.0
C0021,FO,MAN,A320,MAN-A320-FO,1.0,87.24,31,12,89.6668,96.4426834437086,-6.775883443708608,2.775883443708608,0.9297418611577358,110.0,0.0,7822.531631999999,0.0
C0022,FO,MAN,A320,MAN-A320-FO,0.75,58.81,30,8,73.2499,69.99872185430463,3.251178145695363,0.0,1.046446250153858,82.5,0.0,4307.826619,0.0
C0023,FO,MAN,A320,MAN-A320-FO,1.0,80.61,23,8,69.2499,71.55424900662251,-2.304349006622516,0.0,0.9677957767901492,110.0,0.0,5582.234439,0.0
C0024,FO,MAN,A320,MAN-A320-FO,1.0,59.32,31,13,103.66669999999999,96.4426834437086,7.224016556291389,3.2240165562913887,1.0749047651759698,110.0,0.0,6149.508644,0.0
C0025,FO,MAN,A320,MAN-A320-FO,1.0,78.68,29,11,93.1666,90.22057483443709,2.946025165562915,0.0,1.03265358451738,110.0,0.0,7330.348088000001,0.0
C0026,FO,MAN,A320,MAN-A320-FO,1.0,85.93,22,8,66.41669999999999,68.44319470198676,-2.0264947019867634,0.0,0.9703915822338443,110.0,0.0,5707.1870309999995,0.0
C0027,FO,MAN,A320,MAN-A320-FO,1.0,60.31,29,12,94.6666,90.22057483443709,4.446025165562915,0.44602516556291505,1.0492795038573162,110.0,0.0,5709.342646,0.0
C0028,FO,MAN,A320,MAN-A320-FO,1.0,76.92,31,12,100.1668,96.4426834437086,3.724116556291392,0.0,1.0386148168353806,110.0,0.0,7704.830256,0.0
