pool_id,status,cbc_result,objective,best_bound,gap,build_seconds,solve_seconds,wall_seconds,n_variables,n_binaries,n_constraints,nodes,time_limit_hit,constraints_coverage,constraints_rest,constraints_hours_7d,constraints_days_7d,constraints_hours_month,constraints_overtime_link,constraints_fairness_link,uncovered_seats,pay_cost,overtime_cost,fairness_total_dev_hours,fairness_max_dev_hours
BHX-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),165579.2509218,165239.695,0.002050715412164559,0.154,1.039,1.193,1599,1421,1460,0,False,129,722,280,281,12,12,24,0.0,165190.365,0.0,8.3559,2.2177
BHX-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),78242.91143559996,78033.692,0.0026739730380837276,0.149,3.252,3.4,1505,1327,1399,2,False,129,675,273,275,11,12,24,0.0,78135.9603,0.0,1.2525,0.819
BHX-E190-CPT,OPTIMAL,Optimal solution found (within gap tolerance),132965.55168204,132672.863,0.0022012369244321355,0.111,0.821,0.932,1045,907,1207,0,False,97,593,237,240,10,10,20,0.0,132805.9549,0.0,1.8161,1.2327
BHX-E190-FO,OPTIMAL,Optimal solution found (within gap tolerance),65440.46107712,65144.059,0.004529339681312736,0.112,11.214,11.326,1064,926,1238,1102,False,97,611,244,246,10,10,20,0.0,65438.6984,0.0,0.0147,0.0147
EDI-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),127024.49432900001,126864.971,0.0012558469911073183,0.099,0.704,0.803,905,770,1012,0,False,98,469,202,207,9,9,18,0.0,127024.4943,0.0,0.0,0.0
EDI-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),63280.73993300002,62977.371,0.004794016841794499,0.098,0.38,0.479,961,826,1072,0,False,98,501,217,220,9,9,18,0.0,63062.1047,218.6352,0.0,0.0
EDI-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),136771.81258099998,136624.844,0.0010745531423949348,0.071,0.566,0.636,690,559,774,0,False,98,341,149,155,7,8,16,0.0,128481.8257,6196.4124,44.4998,12.0358
EDI-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),58913.932964000014,58830.717,0.0014125005718234303,0.091,0.448,0.539,872,741,984,0,False,98,459,197,198,8,8,16,0.0,58913.933,0.0,0.0,0.0
MAN-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),241599.98649829996,240768.313,0.003442357387324666,0.263,1.028,1.291,2818,2563,1915,0,False,190,947,355,360,15,16,32,0.0,238556.4118,1720.1408,30.9366,7.047
MAN-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),120741.00713579998,120240.775,0.004143017750691513,0.323,20.17,20.493,3331,3068,2260,4,False,190,1139,428,431,18,18,36,0.0,120270.8258,0.0,7.389,3.224
MAN-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),167799.33137209996,167342.846,0.0027204242613321113,0.156,0.856,1.012,1615,1438,1506,0,False,128,746,292,292,12,12,24,0.0,166875.9944,0.0,19.4763,5.3381
MAN-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),76627.28143860002,76320.493,0.004003645083583528,0.152,0.897,1.049,1528,1351,1441,0,False,128,702,280,283,12,12,24,0.0,76525.6397,0.0,1.3605,0.7443
