pool_id,status,cbc_result,objective,best_bound,gap,build_seconds,solve_seconds,wall_seconds,n_variables,n_binaries,n_constraints,nodes,time_limit_hit,constraints_coverage,constraints_rest,constraints_hours_7d,constraints_days_7d,constraints_hours_month,constraints_overtime_link,constraints_fairness_link,uncovered_seats,pay_cost,overtime_cost,fairness_total_dev_hours,fairness_max_dev_hours
BHX-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),165797.40091900004,165239.695,0.003363779624461635,0.162,0.709,0.871,1599,1421,1731,0,False,129,993,280,281,12,12,24,0.0,165181.0632,0.0,15.3505,3.0933
BHX-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),78353.27042159998,78033.692,0.004078686440022404,0.16,0.792,0.952,1505,1327,1652,0,False,129,928,273,275,11,12,24,0.0,78265.6067,0.0,0.9657,0.6835
BHX-E190-CPT,OPTIMAL,Optimal solution found (within gap tolerance),133073.87480699996,132672.863,0.00301345254717758,0.12,0.607,0.728,1045,907,1355,0,False,97,741,237,240,10,10,20,0.0,133073.8748,0.0,0.0,0.0
BHX-E190-FO,OPTIMAL,Optimal solution found (within gap tolerance),65451.88644699999,65144.059,0.004703110387036035,0.115,0.749,0.864,1064,926,1391,0,False,97,764,244,246,10,10,20,0.0,65451.8864,0.0,0.0,0.0
EDI-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),127122.39791699998,126864.971,0.002025031947305249,0.095,0.419,0.514,905,770,1142,0,False,98,599,202,207,9,9,18,0.0,127122.3979,0.0,0.0,0.0
EDI-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),63208.60233550003,62977.371,0.0036582257312492822,0.102,0.846,0.948,961,826,1210,0,False,98,639,217,220,9,9,18,0.0,62874.91,319.8317,0.1155,0.1155
EDI-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),136763.2091793,136624.844,0.0010117134581025212,0.074,1.262,1.336,690,559,884,0,False,98,451,149,155,7,8,16,0.0,128604.4916,6425.1511,36.4999,10.0357
EDI-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),59006.77665199999,58830.717,0.0029837191927688336,0.094,0.411,0.505,872,741,1132,0,False,98,607,197,198,8,8,16,0.0,59006.7767,0.0,0.0,0.0
MAN-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),241483.50184609997,240768.313,0.002961646823209371,0.266,1.309,1.575,2818,2563,2260,0,False,190,1292,355,360,15,16,32,0.0,238521.0092,1374.9783,42.5764,7.3599
MAN-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),120561.93617333994,120240.775,0.002663868742769632,0.323,1.154,1.477,3331,3068,2675,0,False,190,1554,428,431,18,18,36,0.0,120273.7954,0.0,5.1101,1.8594
MAN-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),167703.6781388,167342.846,0.0021516053959255515,0.167,0.81,0.977,1615,1438,1748,0,False,128,988,292,292,12,12,24,0.0,167133.1233,0.0,11.4212,3.4213
MAN-B737-FO,FEASIBLE,Stopped on time limit,76730.70343999997,76320.493,0.005346105556307492,0.161,60.101,60.262,1528,1351,1664,195,True,128,925,280,283,12,12,24,0.0,76730.7034,0.0,0.0,0.0
