pool_id,status,cbc_result,objective,best_bound,gap,build_seconds,solve_seconds,wall_seconds,n_variables,n_binaries,n_constraints,nodes,time_limit_hit,constraints_coverage,constraints_rest,constraints_hours_7d,constraints_days_7d,constraints_hours_month,constraints_overtime_link,constraints_fairness_link,uncovered_seats,pay_cost,overtime_cost,fairness_total_dev_hours,fairness_max_dev_hours
BHX-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),165725.3691918,165239.695,0.0029305965294783316,0.159,0.67,0.829,1599,1421,1625,0,False,129,887,280,281,12,12,24,0.0,164838.1855,0.0,20.5598,4.7599
BHX-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),78397.14871260003,78033.692,0.004636096064315385,0.168,1.205,1.374,1505,1327,1551,0,False,129,827,273,275,11,12,24,0.0,78074.1868,0.0,3.7195,2.4857
BHX-E190-CPT,OPTIMAL,Optimal solution found (within gap tolerance),132926.28124039996,132672.863,0.0019064570078631156,0.112,0.853,0.964,1045,907,1327,0,False,97,713,237,240,10,10,20,0.0,132749.468,0.0,2.7162,1.2249
BHX-E190-FO,OPTIMAL,Optimal solution found (within gap tolerance),65437.225579,65144.059,0.004480119326667778,0.112,0.759,0.872,1064,926,1361,0,False,97,734,244,246,10,10,20,0.0,65408.9642,0.0,0.2355,0.2355
EDI-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),127247.312728,126864.971,0.003004713575502231,0.096,0.949,1.045,905,770,1101,0,False,98,558,202,207,9,9,18,0.0,126823.9496,241.7117,2.4165,1.3332
EDI-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),63140.48509610001,62977.371,0.002583351962718574,0.104,0.651,0.755,961,826,1168,0,False,98,597,217,220,9,9,18,0.0,63000.8353,134.9148,0.0395,0.0395
EDI-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),278320.6620194999,278242.048,0.0002824584381536471,0.067,0.754,0.82,624,493,741,0,False,98,334,133,145,7,8,16,3.0,123631.9717,3267.9519,27.7379,8.6598
EDI-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),59040.011463484014,58830.717,0.003544959736558733,0.095,0.316,0.41,872,741,1036,0,False,98,511,197,198,8,8,16,0.0,59039.1743,0.0,0.007,0.007
MAN-A320-CPT,OPTIMAL,Optimal solution found (within gap tolerance),241387.66254229992,240768.313,0.00256578789395002,0.264,0.952,1.216,2818,2563,2342,0,False,190,1374,355,360,15,16,32,0.0,238818.2408,1454.4528,29.2634,5.297
MAN-A320-FO,OPTIMAL,Optimal solution found (within gap tolerance),120689.16022012,120240.775,0.003715207060039317,0.321,0.87,1.191,3331,3068,2780,0,False,190,1659,428,431,18,18,36,0.0,120342.3223,0.0,5.8058,2.3072
MAN-B737-CPT,OPTIMAL,Optimal solution found (within gap tolerance),167735.7934920001,167342.846,0.002342657365011744,0.16,0.721,0.881,1615,1438,1619,0,False,128,859,292,292,12,12,24,0.0,167142.0028,0.0,12.0123,3.5355
MAN-B737-FO,OPTIMAL,Optimal solution found (within gap tolerance),76688.89355719996,76320.493,0.004803831951561274,0.154,0.482,0.635,1528,1351,1554,0,False,128,815,280,283,12,12,24,0.0,76408.3436,19.0148,3.9788,1.8196
